# HKSCS-2016 augmentation supplement (authoritative, generated).
# Missing HKSCS Han characters with official Quick code and toneless
# Jyutping readings. Fields: chinese, code_point, quick_code, jyutping.
chinese,code_point,quick_code,jyutping
腭,U+816D,bs,ngok;ok
腼,U+817C,bl,min
腽,U+817D,,wat
艹,U+8279,,cou
艺,U+827A,tn,ngai;ai
芦,U+82A6,ts,lou
苏,U+82CF,tc,sou
苘,U+82D8,,king;gwing
荣,U+8363,td,wing
荦,U+8366,tq,lok
药,U+836F,ti,joek
莅,U+8385,tt,lei
莹,U+83B9,tg,jing
萡,U+8421,,bok
萤,U+8424,ti,jing
萦,U+8426,tf,jing
蓞,U+84DE,,daam
蓡,U+84E1,,sam
蓢,U+84E2,,long
蓥,U+84E5,tc,jing
蕰,U+8570,tt,wan
藴,U+85F4,,wan
蘔,U+8614,,gwing;wing
蘖,U+8616,td,jit;jip;nip;lip
虅,U+8645,,tang
虬,U+866C,lu,kau
虲,U+8672,,buk
虾,U+867E,ly,haa
螩,U+87A9,,tiu
蟵,U+87F5,,cyu
衅,U+8845,hq,jan
衆,U+8846,,zung
补,U+8865,ly,bou
衮,U+886E,yv,gwan
袄,U+8884,lk,ou;ngou
袇,U+8887,,jim
袜,U+889C,lj,mat;maat;mut
装,U+88C5,iv,zong
襔,U+8954,,loeng
覼,U+89BC,,lo
见,U+89C1,bu,gin;jin
视,U+89C6,iu,si
謭,U+8B2D,,zin
讏,U+8B8F,,wai
讠,U+8BA0,iv,
设,U+8BBE,ie,cit
询,U+8BE2,ia,seon
贌,U+8D0C,,duk
贘,U+8D18,,soeng
贜,U+8D1C,,zong
贝,U+8D1D,bo,bui
跃,U+8DC3,rk,joek;tik
踪,U+8E2A,rf,zung
躼,U+8EBC,,lou
车,U+8F66,jq,ce;geoi
轧,U+8F67,ju,aat;ngaat;zaat;gaat
轮,U+8F6E,jp,leon
输,U+8F93,jn,syu
边,U+8FB9,ys,bin
达,U+8FBE,yk,daat;taat;dai
迁,U+8FC1,yj,cin
运,U+8FD0,yi,wan
递,U+9012,yh,dai
遤,U+9064,,maa
邮,U+90AE,ll,jau
邻,U+90BB,ol,leon
酰,U+9170,,sin
鈡,U+9221,,zung
鈨,U+9228,,jyun
鈫,U+922B,,man
鉁,U+9241,,zan
鉢,U+9262,,but
銮,U+92AE,yc,lyun
鋴,U+92F4,,hak
鍁,U+9341,,hin;him
鍂,U+9342,,gam
鎆,U+9386,,zin
鎽,U+93BD,,fung
鏱,U+93F1,,gam
鐝,U+941D,,kyut
鐤,U+9424,,ding
鑧,U+9467,,jin
钅,U+9485,ov,
钟,U+949F,ol,zung
钢,U+94A2,ok,gong
铁,U+94C1,oo,tit
铃,U+94C3,oi,ling
铜,U+94DC,or,tung
银,U+94F6,ov,ngan;an
锭,U+952D,oo,ding
镇,U+9547,oc,zan
长,U+957F,lo,coeng;zoeng
閗,U+9597,,dau
门,U+95E8,is,mun
间,U+95F4,ia,gaan
阳,U+9633,na,joeng
际,U+9645,nf,zai
险,U+9669,nm,him
随,U+968F,nb,ceoi
隶,U+96B6,le,dai;doi;lai
隽,U+96BD,os,zeon;syun
霡,U+9721,me,mak
鞲,U+97B2,tb,gau;kau
韦,U+97E6,qs,wai
韵,U+97F5,ym,wan
页,U+9875,mo,jip
颴,U+98B4,,syun
颷,U+98B7,,biu
风,U+98CE,hk,fung
飞,U+98DE,no,fei
飱,U+98F1,,syun
餸,U+9938,,sung
饣,U+9963,nv,
駚,U+99DA,,joeng
騟,U+9A1F,,jyu
马,U+9A6C,nm,maa
骏,U+9A8F,ne,zeon
鮝,U+9B9D,,soeng
鮰,U+9BB0,,wui
鱇,U+9C47,,hong
鱼,U+9C7C,nm,jyu
鵉,U+9D49,,lyun
鷔,U+9DD4,,ngou;ou
鸟,U+9E1F,hm,niu;liu;diu
麦,U+9EA6,qe,mak;maak
麨,U+9EA8,,ciu
麫,U+9EAB,,min
麽,U+9EBD,ii,mo
黄,U+9EC4,tc,wong
黾,U+9EFE,ru,man;maang
鼗,U+9F17,,tou
鼹,U+9F39,hv,jin
齄,U+9F44,,zaa
齐,U+9F50,yl,cai;zai;zi;zaai
齿,U+9F7F,yo,ci
龙,U+9F99,ip,lung
龟,U+9F9F,nu,gwai;gwan;kau;gau
龦,U+9FA6,fb,soeng
龧,U+9FA7,aa,syu
龨,U+9FA8,sg,zeoi
龩,U+9FA9,tl,gan
龪,U+9FAA,go,jan
龫,U+9FAB,jj,gon
龬,U+9FAC,cv,mong
龭,U+9FAD,sc,ji
龮,U+9FAE,sc,jik
龯,U+9FAF,ch,mou
龰,U+9FB0,yo,
龱,U+9FB1,wk,sei;si;seon
龲,U+9FB2,cj,fu
龳,U+9FB3,gg,cam;cim
鿇,U+9FC7,od,zang
鿈,U+9FC8,ho,ce
鿉,U+9FC9,hm,wu
鿊,U+9FCA,tm,zi
鿋,U+9FCB,lr,hei
鿐,U+9FD0,nw,zau
龜,U+F907,hu,gwai;gwan;kau;gau
𠀡,U+20021,mu,tin
𠀾,U+2003E,mi,bui
𠁆,U+20046,mm,bik
𠁎,U+2004E,yy,lin
𠁨,U+20068,sl,cung
𠂆,U+20086,xh,jai
𠂇,U+20087,xk,zo
𠂊,U+2008A,hn,jan;kyut;naat;gau
𠂔,U+20094,lh,zi
𠃌,U+200CC,xs,gwan
𠃮,U+200EE,ne,tam
𠄘,U+20118,no,sing
𠆤,U+201A4,on,
𠆩,U+201A9,oi,faan
𠆫,U+201AB,oh,coi
𠇁,U+201C1,ol,jan
𠇔,U+201D4,ou,mou
𠇲,U+201F2,od,jau
𠈄,U+20204,ol,waan
𠈌,U+2020C,oo,jyu
𠈔,U+20214,ot,lap
𠈹,U+20239,ok,jau
𠉛,U+2025B,os,sing
𠉴,U+20274,ob,jyu
𠉵,U+20275,oo,ding
𠊙,U+20299,om,ji
𠊞,U+2029E,op,zung
𠊠,U+202A0,oh,fan
𠊷,U+202B7,ok,zi
𠊿,U+202BF,om,syun
𠋀,U+202C0,os,jung
𠋥,U+202E5,ou,mei
𠌊,U+2030A,du,paa
𠌥,U+20325,of,
𠍁,U+20341,ok,man
𠍅,U+20345,on,mak
𠍆,U+20346,on,lei
𠍇,U+20347,od,caan
𠍾,U+2037E,ov,jin
𠍿,U+2037F,oc,gun;gwun
𠎀,U+20380,od,git
𠎠,U+203A0,of,ging
𠎧,U+203A7,of,git
𠎵,U+203B5,oo,ngai;ai
𠏉,U+203C9,jd,gon
𠏋,U+203CB,op,jyu
𠏵,U+203F5,of,fung
𠏼,U+203FC,or,gaa
𠐓,U+20413,og,jing
𠐔,U+20414,oa,lou
𠐟,U+2041F,of,liu
𠑥,U+20465,oi,cau
𠒇,U+20487,hu,maau
𠒎,U+2048E,hu,fu
𠒑,U+20491,hu,jyun
𠒒,U+20492,hl,jan
𠒣,U+204A3,hn,hang
𠓗,U+204D7,ni,fu
𠓼,U+204FC,oj,sip
𠓾,U+204FE,og,cyun
𠕇,U+20547,ki,mou
𠖎,U+2058E,be,zeot
𠖥,U+205A5,bp,cung
𠖳,U+205B3,ih,mat
𠗃,U+205C3,ik,jan
𠗊,U+205CA,im,ging
𠗐,U+205D0,ir,ng;m
𠗕,U+205D5,ie,zeon
𠗟,U+205DF,ii,mui
𠗠,U+205E0,it,maang
𠗫,U+205EB,ik,wun
𠘑,U+20611,if,hei
𠘕,U+20615,if,hei
𠘙,U+20619,id,lok
𠘚,U+2061A,iq,mo
𠘰,U+20630,hk,fung
𠙖,U+20656,in,pang
𠙶,U+20676,nu,au;ngau
𠜎,U+2070E,hn,sin
𠜱,U+20731,hn,pai
𠝹,U+20779,wn,
𠠬,U+2082C,hn,cim
𠡳,U+20873,ms,min
𠣕,U+208D5,pg,gwan
𠤖,U+20916,lq,me
𠤣,U+20923,hp,ci
𠥔,U+20954,sg,wui
𠥹,U+20979,sf,au;ngau
𠧧,U+209E7,yi,sai
𠨑,U+20A11,yl,mong
𠩐,U+20A50,mv,san
𠩯,U+20A6F,ml,cyun
𠪊,U+20A8A,mi,lim
𠪴,U+20AB4,mo,co
𠫂,U+20AC2,mt,lou
𠫍,U+20ACD,mc,ai;ngai;si
𠬍,U+20B0D,iu,zeon
𠮏,U+20B8F,ye,jeoi
𠮟,U+20B9F,rp,cik
𠮨,U+20BA8,rs,naai;laai
𠮩,U+20BA9,rn,
𠮿,U+20BBF,ru,saan
𠯆,U+20BC6,rv,jyu
𠯋,U+20BCB,rs,jai
𠯢,U+20BE2,rj,saa;aa
𠯫,U+20BEB,ri,
𠯻,U+20BFB,rs,waan
𠯿,U+20BFF,rc,luk
𠰋,U+20C0B,rm,jau;jaau
𠰍,U+20C0D,rg,zyu
𠰠,U+20C20,rs,keoi
𠰴,U+20C34,rr,sek;jing
𠰺,U+20C3A,rp,doi
𠰻,U+20C3B,ry,ngoi;oi
𠱁,U+20C41,re,
𠱂,U+20C42,rs,dat
𠱃,U+20C43,ru,nip;lip;nap;lap
𠱓,U+20C53,ru,ngai;ai
𠱥,U+20C65,rt,
𠱷,U+20C77,rr,ming
𠱸,U+20C78,rl,
𠱼,U+20C7C,rs,haau
𠲍,U+20C8D,ri,diu
𠲖,U+20C96,rv,
𠲜,U+20C9C,rd,zaang
𠲵,U+20CB5,rs,gip
𠲸,U+20CB8,rs,naam;laam
𠳏,U+20CCF,rm,
𠳓,U+20CD3,rp,bei
𠳔,U+20CD4,rs,keoi
𠳕,U+20CD5,rh,caau
𠳖,U+20CD6,re,dap
𠳝,U+20CDD,rr,fau
𠳭,U+20CED,ru,hak
𠳿,U+20CFF,ru,mei
𠴕,U+20D15,rh,miu
𠴨,U+20D28,rr,gwaan
𠴱,U+20D31,rr,wu
𠴲,U+20D32,ra,daap
𠵆,U+20D46,rm,daam
𠵇,U+20D47,rr,keu
𠵈,U+20D48,rd,mui
𠵉,U+20D49,rn,hong
𠵌,U+20D4C,rm,ji
𠵍,U+20D4D,dr,zaat
𠵎,U+20D4E,rr,gu;gwu
𠵯,U+20D6F,rn,gwit
𠵱,U+20D71,rv,
𠵴,U+20D74,rl,ming
𠵼,U+20D7C,rt,mang
𠵾,U+20D7E,rw,waak
𠵿,U+20D7F,re,pe
𠶖,U+20D96,rg,wong
𠶜,U+20D9C,rn,zai
𠶧,U+20DA7,rr,
𠶲,U+20DB2,ru,
𠷈,U+20DC8,rq,leot
𠸄,U+20E04,rk,jing
𠸉,U+20E09,rr,kak
𠸊,U+20E0A,rj,tap
𠸍,U+20E0D,rk,mei
𠸎,U+20E0E,rq,naa;laa
𠸏,U+20E0F,rr,ge
𠸐,U+20E10,rn,kam
𠸑,U+20E11,rn,soek
𠸖,U+20E16,ri,ling
𠸝,U+20E1D,ro,saap
𠹌,U+20E4C,rp,
𠹭,U+20E6D,rr,ko
𠹳,U+20E73,rd,git
𠹵,U+20E75,rv,aan;ngaan
𠹶,U+20E76,rj,
𠹷,U+20E77,ri,ngo;o
𠹸,U+20E78,rv,kam
𠹹,U+20E79,rb,lan
𠹺,U+20E7A,rg,maai
𠹻,U+20E7B,rk,zam
𠺌,U+20E8C,ri,gwe
𠺖,U+20E96,ro,
𠺘,U+20E98,rv,
𠺝,U+20E9D,rr,
𠺢,U+20EA2,ro,
𠺪,U+20EAA,rd,
𠺫,U+20EAB,rj,leu
𠺬,U+20EAC,ru,he
𠺶,U+20EB6,rb,naap;laap
𠻗,U+20ED7,rb,le;lei
𠻘,U+20ED8,rg,
𠻝,U+20EDD,rh,caam
𠻸,U+20EF8,mr,zi
𠻹,U+20EF9,rp,
𠻺,U+20EFA,rm,ngaa;aa
𠻻,U+20EFB,rh,bai
𠼝,U+20F1D,rd,lei
𠼦,U+20F26,re,maan
𠼭,U+20F2D,rm,
𠼮,U+20F2E,rf,
𠼰,U+20F30,rk,kang
𠼱,U+20F31,rf,
𠼻,U+20F3B,rg,gi;gei
𠽌,U+20F4C,rm,
𠽤,U+20F64,ri,kik
𠾍,U+20F8D,rd,he
𠾐,U+20F90,rm,lung
𠾭,U+20FAD,rv,we
𠾴,U+20FB4,rq,baang
𠾵,U+20FB5,rm,zaa
𠾶,U+20FB6,rf,ging
𠾼,U+20FBC,ru,
𠿟,U+20FDF,hr,ak;ngak
𠿪,U+20FEA,rc,
𠿫,U+20FEB,rb,saau
𠿬,U+20FEC,re,soe
𠿭,U+20FED,rb,wet
𡀔,U+21014,rr,
𡀝,U+2101D,rp,nam;lam
𡀞,U+2101E,rj,
𡁏,U+2104F,ro,
𡁜,U+2105C,rb,
𡁯,U+2106F,ri,dut;dyut
𡁵,U+21075,rf,gan
𡁶,U+21076,rg,zit
𡁷,U+21077,ri,doeng
𡁸,U+21078,rf,kwaak
𡁻,U+2107B,rb,
𡂈,U+21088,ro,buk
𡂖,U+21096,rb,lai
𡂝,U+2109D,rc,zuk
𡂴,U+210B4,rj,lin
𡂿,U+210BF,ro,au;ngau
𡃀,U+210C0,re,
𡃁,U+210C1,ru,
𡃇,U+210C7,rt,bai
𡃈,U+210C8,rj,
𡃉,U+210C9,rf,gaa
𡃏,U+210CF,rg,doe
𡃓,U+210D3,rw,bo
𡃤,U+210E4,rc,laai;lai
𡃴,U+210F4,rb,ceoi
𡃵,U+210F5,rg,ung;ngung
𡃶,U+210F6,rh,
𡄯,U+2112F,rp,jik
𡄻,U+2113B,gr,ji
𡄽,U+2113D,rf,soe
𡅅,U+21145,rc,
𡅈,U+21148,rq,laa
𡅏,U+2114F,rt,lai
𡆀,U+21180,rj,gwang
𡆇,U+21187,re,wok
𡇙,U+211D9,wd,doe
𡈼,U+2123C,hg,
𡉏,U+2124F,gu,ji
𡉼,U+2127C,hg,sing
𡊨,U+212A8,gi,jyun
𡊩,U+212A9,gi,juk
𡊰,U+212B0,gw,tin
𡋣,U+212E3,gg,kwai
𡋾,U+212FE,rg,bit
𡌂,U+21302,eg,fan
𡌃,U+21303,gr,kok
𡌄,U+21304,gj,ce
𡌅,U+21305,og,fat
𡌶,U+21336,gc,baan
𡌺,U+2133A,gi,mang
𡍵,U+21375,ng,zeon
𡍶,U+21376,mg,zi
𡎎,U+2138E,gj,sai
𡎘,U+21398,gk,jing
𡎜,U+2139C,gj,naam;laam
𡏅,U+213C5,ig,long
𡏆,U+213C6,gl,joeng
𡏭,U+213ED,gd,hiu
𡏾,U+213FE,gr,gei
𡐓,U+21413,ge,hong
𡐖,U+21416,gg,haam
𡐤,U+21424,gf,kit
𡐿,U+2143F,gj,daat
𡑒,U+21452,gk,gam
𡑔,U+21454,yg,kwan
𡑕,U+21455,gd,sam
𡒊,U+2148A,hg,jyu
𡒗,U+21497,eg,mun
𡒶,U+214B6,gv,joeng
𡓨,U+214E8,gg,wan
𡓽,U+214FD,gf,fan
𡕷,U+21577,ne,hing
𡖂,U+21582,te,kwai
𡖖,U+21596,nl,hing
𡘊,U+2160A,kw,fan
𡘓,U+21613,no,hau
𡘙,U+21619,kk,taai
𡘾,U+2163E,vk,zong
𡙡,U+21661,tk,gang
𡚒,U+21692,kx,fan
𡚸,U+216B8,vi,maa
𡚺,U+216BA,vi,jyun
𡛀,U+216C0,ve,tong
𡛁,U+216C1,vh,mat
𡛂,U+216C2,vk,ji
𡛓,U+216D3,vy,daan
𡛕,U+216D5,vi,taai
𡛟,U+216DF,vv,jyut
𡛦,U+216E6,vb,bing
𡛧,U+216E7,vh,
𡛨,U+216E8,vy,kaa
𡛺,U+216FA,nv,jau
𡛻,U+216FB,ve,wing
𡛼,U+216FC,vi,juk
𡛾,U+216FE,vq,naai;laai
𡜍,U+2170D,vu,zat
𡜐,U+21710,vi,syu
𡜦,U+21726,jv,wai
𡜺,U+2173A,vr,hang
𡜻,U+2173B,vd,saam
𡜼,U+2173C,vl,wui
𡝗,U+21757,vr,kwan
𡝬,U+2176C,vi,bou
𡝭,U+2176D,vb,mou
𡝮,U+2176E,vm,ji
𡝯,U+2176F,ve,dai
𡝰,U+21770,vt,laai
𡝱,U+21771,vh,fan
𡝳,U+21773,vo,zi
𡝴,U+21774,vu,jyun
𡞫,U+217AB,vf,noi;loi
𡞰,U+217B0,vi,ci
𡞱,U+217B1,vv,leoi
𡞲,U+217B2,vs,ping
𡞳,U+217B3,vk,gwai
𡞴,U+217B4,vj,ping
𡞵,U+217B5,vk,wun
𡟃,U+217C3,vu,jyun
𡟇,U+217C7,vo,fui
𡟙,U+217D9,vm,sing
𡟚,U+217DA,vt,jing
𡟛,U+217DB,vt,bing
𡟜,U+217DC,vv,goeng
𡟟,U+217DF,vp,cung
𡟯,U+217EF,vp,jan
𡟵,U+217F5,vr,go
𡟶,U+217F6,vi,ngo;o
𡟸,U+217F8,vm,ong;ngong
𡟹,U+217F9,vk,zi
𡟺,U+217FA,ve,haa
𡟻,U+217FB,vk,jan
𡟼,U+217FC,vo,fui
𡠠,U+21820,vg,tong
𡠨,U+21828,vh,tai
𡠩,U+21829,vg,gin
𡠪,U+2182A,vb,mun
𡠭,U+2182D,vm,syut
𡠹,U+21839,vb,daai
𡠺,U+2183A,fv,wing
𡠻,U+2183B,vr,zou
𡡀,U+21840,vu,gyun
𡡅,U+21845,vf,niu;liu
𡡒,U+21852,vl,si
𡡞,U+2185E,vq,seon
𡡡,U+21861,vf,ging
𡡢,U+21862,vd,cong
𡡣,U+21863,vd,guk
𡡤,U+21864,vi,gei
𡡷,U+21877,ve,ling
𡡻,U+2187B,vu,mei
𡢃,U+21883,va,haan
𡢄,U+21884,vk,man
𡢅,U+21885,vi,wan
𡢞,U+2189E,vv,jing
𡢟,U+2189F,vo,co
𡢠,U+218A0,vb,wo
𡢡,U+218A1,vq,kwan
𡢢,U+218A2,vk,jyu
𡢾,U+218BE,vf,gam
𡢿,U+218BF,vv,nung;lung
𡣑,U+218D1,vc,pan;ban
𡣖,U+218D6,vv,soeng
𡣗,U+218D7,vr,gaa
𡣘,U+218D8,vo,mung
𡣙,U+218D9,vx,caai
𡣺,U+218FA,vp,wai
𡤃,U+21903,vb,gaan
𡤄,U+21904,vd,haan
𡤅,U+21905,vu,can
𡤐,U+21910,vc,coi
𡤑,U+21911,vw,coeng
𡤒,U+21912,vq,geoi
𡤕,U+21915,ve,haa
𡤜,U+2191C,gv,ji
𡤢,U+21922,vg,lo
𡤧,U+21927,vc,bou
𡤻,U+2193B,vf,lyun
𡥄,U+21944,nr,zi
𡥘,U+21958,wd,hou
𡥪,U+2196A,nr,seon
𡥼,U+2197C,nc,
𡦀,U+21980,nb,long
𡦃,U+21983,fd,king;waan
𡦈,U+21988,oo,gu;gwu
𡦖,U+21996,nb,mun
𡧛,U+219DB,ji,fu
𡧳,U+219F3,jw,coi
𡨭,U+21A2D,ji,cung
𡨴,U+21A34,jn,ning;ling
𡩅,U+21A45,jb,gaa
𡩋,U+21A4B,jb,ning;ling
𡩣,U+21A63,jd,git
𡭄,U+21B44,gi,cyun
𡯁,U+21BC1,kn,wong;jau
𡯂,U+21BC2,cn,wong
𡰪,U+21C2A,sr,
𡱰,U+21C70,so,tyun
𡲢,U+21CA2,sr,
𡲥,U+21CA5,sm,sang
𡲬,U+21CAC,su,gwat;wat
𡵆,U+21D46,uu,zi
𡵓,U+21D53,ui,wang
𡵞,U+21D5E,uj,fung
𡶐,U+21D90,ur,ke
𡶶,U+21DB6,uq,gong
𡶺,U+21DBA,ub,pui
𡷊,U+21DCA,hu,dou
𡷑,U+21DD1,uo,ci
𡷫,U+21DEB,us,sing
𡷹,U+21DF9,uu,jin
𡸜,U+21E1C,um,zik
𡸣,U+21E23,uu,jit
𡸷,U+21E37,uc,kei
𡸽,U+21E3D,um,zik
𡺉,U+21E89,ug,lei
𡺤,U+21EA4,ui,laam
𡺨,U+21EA8,uq,wai
𡻈,U+21EC8,ud,ceon
𡻕,U+21ED5,uf,seoi
𡼏,U+21F0F,ua,gaan
𡼕,U+21F15,us,zeon
𡽪,U+21F6A,uk,fai
𡾞,U+21F9E,us,hei
𡾡,U+21FA1,ua,zam
𢁅,U+22045,rj,seon
𢁉,U+22049,sc,seon
𢁾,U+2207E,lr,ciu
𢂚,U+2209A,yb,coek
𢃇,U+220C7,lg,
𢃼,U+220FC,lu,mei
𢄪,U+2212A,lh,lau
𢅛,U+2215B,yp,lung
𢅳,U+22173,lc,lim
𢅺,U+2217A,lb,zin
𢆡,U+221A1,bq,nin;lin
𢇁,U+221C1,vf,si;soi;zi
𢇃,U+221C3,vf,si
𢈈,U+22208,ir,hap;nap;lap
𢉼,U+2227C,ib,gang;ou;ngou
𢌡,U+22321,nr,gwing
𢌥,U+22325,ng,cing
𢎽,U+223BD,ne,kap
𢏐,U+223D0,ni,wang
𢏗,U+223D7,mn,ngai;ai
𢏺,U+223FA,nn,bat
𢑥,U+22465,vd,wui;wai
𢑱,U+22471,vk,ji
𢒋,U+2248B,ih,wing
𢒑,U+22491,oh,coeng
𢒰,U+224B0,km,juk
𢒼,U+224BC,hu,ji
𢓁,U+224C1,hm,gung
𢓉,U+224C9,he,faan
𢓌,U+224CC,hc,liu
𢓭,U+224ED,he,seon
𢔓,U+22513,hq,fung
𢔛,U+2251B,hj,hang
𢔰,U+22530,hu,mei
𢕔,U+22554,hj,zoeng
𢖍,U+2258D,hn,hang
𢖯,U+225AF,pn,gei
𢖾,U+225BE,pn,faan
𢘛,U+2261B,py,cik
𢘜,U+2261C,pr,si
𢘫,U+2262B,mp,zing
𢙨,U+22668,pd,cyun
𢙺,U+2267A,pp,zi
𢚖,U+22696,cp,ti
𢚘,U+22698,pr,ji
𢛴,U+226F4,pt,mang
𢛵,U+226F5,pd,zang
𢛶,U+226F6,sp,ngo;o
𢜒,U+22712,op,leon
𢜔,U+22714,op,zi
𢜛,U+2271B,hp,jan
𢜟,U+2271F,pu,gong
𢜪,U+2272A,pr,nok;lok
𢝵,U+22775,np,fit
𢞁,U+22781,pi,fung
𢞖,U+22796,pk,tai
𢞴,U+227B4,pp,jan
𢞵,U+227B5,nh,fit
𢟍,U+227CD,mp,lik
𢠃,U+22803,kp,geng
𢡟,U+2285F,dp,mau
𢡠,U+22860,pa,ci
𢡱,U+22871,gp,kok
𢢭,U+228AD,mp,jyu
𢣁,U+228C1,pp,gung
𢣷,U+228F7,pg,dik
𢤦,U+22926,pg,dung
𢤹,U+22939,cp,goe
𢥏,U+2294F,pr,jing
𢥧,U+22967,mp,jyun
𢥫,U+2296B,yp,wan
𢦀,U+22980,mp,zong
𢦓,U+22993,ih,ngo;o
𢩦,U+22A66,nq,zit
𢫏,U+22ACF,qu,
𢫕,U+22AD5,qe,
𢫦,U+22AE6,qa,paak
𢫨,U+22AE8,qj,ung;ngung
𢬎,U+22B0E,qm,wun
𢬢,U+22B22,qb,diu
𢬿,U+22B3F,qt,
𢭃,U+22B43,qt,
𢭪,U+22B6A,qu,hak
𢯊,U+22BCA,qi,
𢯎,U+22BCE,qb,ngaau;aau
𢰦,U+22C26,qa,ceon
𢰧,U+22C27,qd,jau
𢰸,U+22C38,qr,wo
𢱌,U+22C4C,qd,gaa
𢱑,U+22C51,qo,
𢱕,U+22C55,qj,
𢱢,U+22C62,qf,
𢲈,U+22C88,qe,kik
𢲛,U+22C9B,qo,tou
𢲡,U+22CA1,qq,
𢲩,U+22CA9,qe,kap
𢲲,U+22CB2,ql,long
𢲷,U+22CB7,qk,aau;ngaau
𢳂,U+22CC2,qj,
𢳆,U+22CC6,qk,ngou;ou
𢳉,U+22CC9,vq,keoi
𢴇,U+22D07,qi,zap
𢴈,U+22D08,qm,daat
𢴒,U+22D12,qf,paang
𢵄,U+22D44,qa,cou
𢵌,U+22D4C,qo,
𢵧,U+22D67,qa,
𢶍,U+22D8D,qm,saap
𢶕,U+22D95,qf,zin
𢶠,U+22DA0,qb,saau
𢶣,U+22DA3,qm,dip
𢶤,U+22DA4,qp,loe
𢶷,U+22DB7,qq,co
𢷮,U+22DEE,qi,deoi
𢸍,U+22E0D,qv,zan
𢸶,U+22E36,qe,cyut
𢹂,U+22E42,qs,kwai
𢹸,U+22E78,qe,cung
𢺋,U+22E8B,tq,naan;laan
𢺳,U+22EB3,qi,maan
𢻯,U+22EEF,od,hok
𢽴,U+22F74,mk,duk
𢿌,U+22FCC,ne,hing
𢿣,U+22FE3,ge,hiu
𣀳,U+23033,sk,nip;lip
𣁄,U+23044,yq,geoi
𣁋,U+2304B,uk,mei
𣁦,U+23066,yg,pun
𣁽,U+2307D,hj,fui
𣁾,U+2307E,yj,dau
𣂎,U+2308E,ej,mun
𣂷,U+230B7,tl,kan
𣂼,U+230BC,tl,kan
𣃚,U+230DA,yn,hong
𣄃,U+23103,yc,kei
𣄽,U+2313D,na,doek
𣅽,U+2317D,au,pui
𣆂,U+23182,ai,jyun
𣆤,U+231A4,fa,fong
𣆥,U+231A5,fa,fong
𣆳,U+231B3,ak,gang
𣇈,U+231C8,au,hiu
𣇉,U+231C9,ar,gwan
𣇪,U+231EA,af,jiu
𣇷,U+231F7,as,fong
𣇸,U+231F8,ja,ceon
𣇹,U+231F9,ea,man
𣈏,U+2320F,aa,sik
𣈥,U+23225,an,tou
𣈯,U+2322F,an,jyu
𣈱,U+23231,lh,coeng
𣈲,U+23232,au,mei
𣈳,U+23233,as,min
𣈴,U+23234,aw,miu
𣉖,U+23256,am,
𣉞,U+2325E,ab,gou;hou
𣉢,U+23262,ad,mai
𣊁,U+23281,ga,ngou;ou
𣊉,U+23289,ai,gei
𣊊,U+2328A,am,hou
𣊫,U+232AB,aa,luk
𣊬,U+232AC,aq,seon
𣊭,U+232AD,aa,luk
𣋒,U+232D2,ak,kwai
𣋠,U+232E0,ax,cai
𣋡,U+232E1,ao,mung
𣌀,U+23300,as,hei
𣌊,U+2330A,ae,haa
𣌟,U+2331F,am,ling
𣎴,U+233B4,mf,dan;nip;lip
𣏌,U+233CC,du,zi
𣏞,U+233DE,du,jau
𣏦,U+233E6,fd,muk
𣏴,U+233F4,dm,jan
𣏵,U+233F5,dm,naam;laam
𣏹,U+233F9,df,zoi
𣏺,U+233FA,du,hung
𣏾,U+233FE,di,dak
𣐀,U+23400,dk,man
𣐿,U+2343F,dv,ji
𣑐,U+23450,db,diu
𣑯,U+2346F,do,tou
𣑲,U+23472,db,pui
𣓥,U+234E5,ed,jau
𣔙,U+23519,do,him;hin
𣔰,U+23530,do,zi
𣕑,U+23551,dd,co
𣕚,U+2355A,dh,mau
𣕧,U+23567,dd,gaa
𣖕,U+23595,dt,peng
𣖙,U+23599,dk,mei
𣖜,U+2359C,db,wai
𣖻,U+235BB,dt,hoi
𣗍,U+235CD,dc,kei
𣗎,U+235CE,dg,cyun
𣗏,U+235CF,dj,fung
𣗳,U+235F3,di,syu
𣘀,U+23600,dh,sau
𣘗,U+23617,dr,nat
𣘚,U+2361A,dj,seot
𣘼,U+2363C,id,kai
𣙀,U+23640,di,zap
𣙙,U+23659,dk,cuk
𣙟,U+2365F,db,soeng
𣙷,U+23677,dt,mong
𣚎,U+2368E,df,leoi
𣚞,U+2369E,dr,
𣚦,U+236A6,di,koeng;goeng
𣚭,U+236AD,dd,guk
𣚺,U+236BA,jy,
𣛟,U+236DF,dq,zoeng
𣛮,U+236EE,dt,sing
𣜃,U+23703,df,jau
𣜖,U+23716,dm,dip
𣜠,U+23720,df,hei
𣜭,U+2372D,df,zin
𣜯,U+2372F,dm,hyun
𣜿,U+2373F,dd,jip
𣝦,U+23766,dj,ceoi
𣞁,U+23781,dd,wing
𣞢,U+237A2,df,ze
𣞼,U+237BC,dv,joeng
𣟂,U+237C2,di,fun
𣟕,U+237D5,dd,san
𣟖,U+237D6,dr,mo
𣟗,U+237D7,dt,ji
𣠺,U+2383A,do,cip
𣧂,U+239C2,mk,laai
𣪧,U+23AA7,he,jan
𣫛,U+23ADB,ye,ngai;ai
𣫮,U+23AEE,ni,hou
𣫺,U+23AFA,ob,juk
