text,pinyin
容祖兒,rong2 zu3 er2
容積,rong2 ji1
容納,rong2 na4
容許,rong2 xu3
容貌,rong2 mao4
容量,rong2 liang4
容顏,rong2 yan2
宼,kou4
宿,su4
宿主,su4 zhu3
宿命,su4 ming4
宿舍,su4 she4
宿舍樓,su4 she4 lou2
宿遷,su4 qian1
寀,cai4
寁,zan3
寂,ji4
寂寞,ji4 mo4
寂靜,ji4 jing4
寃,yuan1
寄,ji4
寄予,ji4 yu3
寄出,ji4 chu1
寄存器,ji4 cun2 qi4
寄生,ji4 sheng1
寄生蟲,ji4 sheng1 chong2
寄託,ji4 tuo1
寅,yin2
密,mi4
密不可分,mi4 bu4 ke3 fen1
密切,mi4 qie4
密友,mi4 you3
密室,mi4 shi4
密密麻麻,mi4 mi5 ma2 ma2
密封,mi4 feng1
密度,mi4 du4
密歇根,mi4 xie1 gen1
密碼,mi4 ma3
密碼學,mi4 ma3 xue2
密鑰,mi4 yao4
密集,mi4 ji2
密雲,mi4 yun2
寇,kou4
富,fu4
富人,fu4 ren2
富含,fu4 han2
富商,fu4 shang1
富國,fu4 guo2
富士,fu4 shi4
富士康,fu4 shi4 kang1
富士通,fu4 shi4 tong1
富婆,fu4 po2
富強,fu4 qiang2
富於,fu4 yu2
富有,fu4 you3
富民,fu4 min2
富翁,fu4 weng1
富裕,fu4 yu4
富豪,fu4 hao2
富貴,fu4 gui4
富足,fu4 zu2
富餘,fu4 yu5
寎,bing4
寐,mei4
寑,qin3
寒,han2
寒假,han2 jia4
寒冬,han2 dong1
寒冷,han2 leng3
寒意,han2 yi4
寒風,han2 feng1
寓,yu4
寓意,yu4 yi4
寓言,yu4 yan2
寔,shi2
寕,ning4
寖,jin4
寗,ning2
寘,zhi4
寙,yu3
寞,mo4
察,cha2
察看,cha2 kan4
察覺,cha2 jue2
寠,ju4
寡,gua3
寡婦,gua3 fu5
寢,qin3
寢室,qin3 shi4
寤,wu4
寥,liao2
寥寥,liao2 liao2
寥寥無幾,liao2 liao2 wu2 ji3
實,shi2
實事,shi2 shi4
實事求是,shi2 shi4 qiu2 shi4
實例,shi2 li4
實則,shi2 ze2
實力,shi2 li4
實務,shi2 wu4
實名,shi2 ming2
實名制,shi2 ming2 zhi4
實在,shi2 zai4
實地,shi2 di4
實屬,shi2 shu3
實情,shi2 qing2
實惠,shi2 hui4
實戰,shi2 zhan4
實拍,shi2 pai1
實操,shi2 cao1
實效,shi2 xiao4
實施,shi2 shi1
實時,shi2 shi2
實景,shi2 jing3
實木,shi2 mu4
實業,shi2 ye4
實權,shi2 quan2
實況,shi2 kuang4
實測,shi2 ce4
實物,shi2 wu4
實現,shi2 xian4
實用,shi2 yong4
實習,shi2 xi2
實習生,shi2 xi2 sheng1
實至名歸,shi2 zhi4 ming2 gui1
實行,shi2 xing2
實話,shi2 hua4
實話實說,shi2 hua4 shi2 shuo1
實證,shi2 zheng4
實質,shi2 zhi4
實質上,shi2 zhi4 shang4
實質性,shi2 zhi4 xing4
實踐,shi2 jian4
實錘,shi2 chui2
實際,shi2 ji4
實際上,shi2 ji4 shang4
實際情況,shi2 ji4 qing2 kuang4
實際應用,shi2 ji4 ying4 yong4
實驗,shi2 yan4
實驗室,shi2 yan4 shi4
實體,shi2 ti3
實體店,shi2 ti3 dian4
寧,ning2
寧可,ning4 ke3
寧夏,ning2 xia4
寧德,ning2 de2
寧波,ning2 bo1
寧波市,ning2 bo1 shi4
寧靜,ning2 jing4
寧願,ning4 yuan4
寨,zhai4
審,shen3
審判,shen3 pan4
審定,shen3 ding4
審慎,shen3 shen4
審批,shen3 pi1
審查,shen3 cha2
審核,shen3 he2
審理,shen3 li3
審稿,shen3 gao3
審稿人,shen3 gao3 ren2
審美,shen3 mei3
審美觀,shen3 mei3 guan1
審視,shen3 shi4
審計,shen3 ji4
審訊,shen3 xun4
審議,shen3 yi4
審閱,shen3 yue4
寪,wei3
寫,xie3
寫下,xie3 xia4
寫作,xie3 zuo4
寫信,xie3 xin4
寫字,xie3 zi4
寫字樓,xie3 zi4 lou2
寫完,xie3 wan2
寫實,xie3 shi2
寫意,xie3 yi4
寫手,xie3 shou3
寫法,xie3 fa3
寫照,xie3 zhao4
寫真,xie3 zhen1
寫道,xie3 dao4
寬,kuan1
寬大,kuan1 da4
寬容,kuan1 rong2
寬屏,kuan1 ping2
寬帶,kuan1 dai4
寬度,kuan1 du4
寬廣,kuan1 guang3
寬恕,kuan1 shu4
寬敞,kuan1 chang5
寬泛,kuan1 fan4
寬裕,kuan1 yu4
寬闊,kuan1 kuo4
寬頻,kuan1 pin2
寬鬆,kuan1 song1
寮,liao2
寰,huan2
寳,bao3
寵,chong3
寵兒,chong3 er2
寵愛,chong3 ai4
寵物,chong3 wu4
寶,bao3
寶典,bao3 dian3
寶劍,bao3 jian4
寶媽,bao3 ma1
寶安,bao3 an1
寶安區,bao3 an1 qu1
寶寶,bao3 bao5
寶山,bao3 shan1
寶座,bao3 zuo4
寶庫,bao3 ku4
寶潔,bao3 jie2
寶物,bao3 wu4
寶玉,bao3 yu4
寶石,bao3 shi2
寶藏,bao3 zang4
寶貝,bao3 bei4
寶貝兒,bao3 bei4 r5
寶貴,bao3 gui4
寶鋼,bao3 gang1
寶雞,bao3 ji1
寶馬,bao3 ma3
寸,cun4
寺,si4
寺廟,si4 miao4
寺院,si4 yuan4
封,feng1
封印,feng1 yin4
封口,feng1 kou3
封存,feng1 cun2
封建,feng1 jian4
封建社會,feng1 jian4 she4 hui4
封殺,feng1 sha1
封號,feng1 hao4
封裝,feng1 zhuang1
封鎖,feng1 suo3
封閉,feng1 bi4
封面,feng1 mian4
封頂,feng1 ding3
尃,fu1
射,she4
射出,she4 chu1
射手,she4 shou3
射手座,she4 shou3 zuo4
射擊,she4 ji1
射程,she4 cheng2
射箭,she4 jian4
射精,she4 jing1
射線,she4 xian4
射門,she4 men2
射頻,she4 pin2
尅,ke4
將,jiang4
將來,jiang1 lai2
將士,jiang4 shi4
將就,jiang1 jiu5
將會,jiang1 hui4
將至,jiang1 zhi4
將要,jiang1 yao4
將軍,jiang1 jun1
將近,jiang1 jin4
將領,jiang4 ling3
專,zhuan1
專一,zhuan1 yi1
專人,zhuan1 ren2
專利,zhuan1 li4
專利權,zhuan1 li4 quan2
專制,zhuan1 zhi4
專區,zhuan1 qu1
專員,zhuan1 yuan2
專場,zhuan1 chang3
專家,zhuan1 jia1
專屬,zhuan1 shu3
專心,zhuan1 xin1
專攻,zhuan1 gong1
專有,zhuan1 you3
專案組,zhuan1 an4 zu3
專業,zhuan1 ye4
專業人士,zhuan1 ye4 ren2 shi4
專業人才,zhuan1 ye4 ren2 cai2
專業化,zhuan1 ye4 hua4
專業性,zhuan1 ye4 xing4
專櫃,zhuan1 gui4
專欄,zhuan1 lan2
專注,zhuan1 zhu4
專營,zhuan1 ying2
專用,zhuan1 yong4
專碩,zhuan1 shuo4
專科,zhuan1 ke1
專程,zhuan1 cheng2
專線,zhuan1 xian4
專職,zhuan1 zhi2
專著,zhuan1 zhu4
專訪,zhuan1 fang3
專賣,zhuan1 mai4
專賣店,zhuan1 mai4 dian4
專車,zhuan1 che1
專輯,zhuan1 ji2
專長,zhuan1 chang2
專門,zhuan1 men2
專項,zhuan1 xiang4
專題,zhuan1 ti2
尉,wei4
尊,zun1
尊嚴,zun1 yan2
尊敬,zun1 jing4
尊貴,zun1 gui4
尊重,zun1 zhong4
尋,xun2
尋常,xun2 chang2
尋找,xun2 zhao3
尋求,xun2 qiu2
尋覓,xun2 mi4
尌,shu4
對,dui4
對上,dui4 shang4
對不上,dui4 bu4 shang4
對不住,dui4 bu5 zhu4
對不對,dui4 bu4 dui4
對不起,dui4 bu5 qi3
對了,dui4 le5
對付,dui4 fu5
對位,dui4 wei4
對價,dui4 jia4
對內,dui4 nei4
對口,dui4 kou3
對外,dui4 wai4
對外貿易,dui4 wai4 mao4 yi4
對局,dui4 ju2
對岸,dui4 an4
對峙,dui4 zhi4
對待,dui4 dai4
對得起,dui4 de5 qi3
對應,dui4 ying4
對我來說,dui4 wo3 lai2 shuo1
對戰,dui4 zhan4
對手,dui4 shou3
對抗,dui4 kang4
對接,dui4 jie1
對方,dui4 fang1
對於,dui4 yu2
對本,dui4 ben3
對標,dui4 biao1
對比,dui4 bi3
對比度,dui4 bi3 du4
對決,dui4 jue2
對沖,dui4 chong1
對準,dui4 zhun3
對焦,dui4 jiao1
對照,dui4 zhao4
對照組,dui4 zhao4 zu3
對症下藥,dui4 zheng4 xia4 yao4
對白,dui4 bai2
對稱,dui4 chen4
對稱性,dui4 chen4 xing4
對立,dui4 li4
對立面,dui4 li4 mian4
對等,dui4 deng3
對策,dui4 ce4
對聯,dui4 lian2
對華,dui4 hua2
對號入座,dui4 hao4 ru4 zuo4
對視,dui4 shi4
對話,dui4 hua4
對話框,dui4 hua4 kuang4
對講機,dui4 jiang3 ji1
對象,dui4 xiang4
對賬,dui4 zhang4
對陣,dui4 zhen4
對面,dui4 mian4
對頭,dui4 tou2
對齊,dui4 qi2
導,dao3
導入,dao3 ru4
導出,dao3 chu1
導向,dao3 xiang4
導師,dao3 shi1
導彈,dao3 dan4
導數,dao3 shu4
導演,dao3 yan3
導火索,dao3 huo3 suo3
導火線,dao3 huo3 xian4
導管,dao3 guan3
導線,dao3 xian4
導致,dao3 zhi4
導航,dao3 hang2
導論,dao3 lun4
導讀,dao3 du2
導購,dao3 gou4
導遊,dao3 you2
導電,dao3 dian4
導體,dao3 ti3
小,xiao3
小三,xiao3 san1
小丑,xiao3 chou3
小事,xiao3 shi4
小二,xiao3 er4
小人,xiao3 ren2
小人物,xiao3 ren2 wu4
小仙女,xiao3 xian1 nü3
小企業,xiao3 qi3 ye4
小便,xiao3 bian4
小偷,xiao3 tou1
小兒,xiao3 er2
小公主,xiao3 gong1 zhu3
小冊子,xiao3 ce4 zi5
小刀,xiao3 dao1
小動作,xiao3 dong4 zuo4
小包,xiao3 bao1
小區,xiao3 qu1
小可愛,xiao3 ke3 ai4
小吃,xiao3 chi1
小品,xiao3 pin3
小哥,xiao3 ge1
小哥哥,xiao3 ge1 ge5
小型,xiao3 xing2
小城,xiao3 cheng2
小夥子,xiao3 huo3 zi5
小女人,xiao3 nü3 ren2
小妖,xiao3 yao1
小妹,xiao3 mei4
小妹妹,xiao3 mei4 mei5
小姐,xiao3 jie5
小姐姐,xiao3 jie3 jie5
小姨,xiao3 yi2
小子,xiao3 zi3
小孩,xiao3 hai2
小孩子,xiao3 hai2 zi5
小學,xiao3 xue2
小學生,xiao3 xue2 sheng1
小將,xiao3 jiang4
小小,xiao3 xiao3
小屋,xiao3 wu1
小島,xiao3 dao3
小巧,xiao3 qiao3
小巷,xiao3 xiang4
小幅,xiao3 fu2
小年輕,xiao3 nian2 qing1
小店,xiao3 dian4
小康,xiao3 kang1
小弟,xiao3 di4
小弟弟,xiao3 di4 di5
小強,xiao3 qiang2
小心,xiao3 xin1
小心翼翼,xiao3 xin1 yi4 yi4
小提琴,xiao3 ti2 qin2
小數,xiao3 shu4
小於,xiao3 yu2
小日本,xiao3 ri4 ben3
小春,xiao3 chun1
小時,xiao3 shi2
小時候,xiao3 shi2 hou5
小朋友,xiao3 peng2 you3
小林,xiao3 lin2
小樓,xiao3 lou2
小樣,xiao3 yang4
小樹,xiao3 shu4
小氣,xiao3 qi4
小河,xiao3 he2
小泉,xiao3 quan2
小波,xiao3 bo1
小混混,xiao3 hun4 hun4
小清新,xiao3 qing1 xin1
小溪,xiao3 xi1
小牛,xiao3 niu2
小狗,xiao3 gou3
小球,xiao3 qiu2
小白,xiao3 bai2
小白兔,xiao3 bai2 tu4
小白鼠,xiao3 bai2 shu3
小的,xiao3 de5
小看,xiao3 kan4
小眾,xiao3 zhong4
小節,xiao3 jie2
小範圍,xiao3 fan4 wei2
小米,xiao3 mi3
小精靈,xiao3 jing1 ling2
小紅書,xiao3 hong2 shu1
小組,xiao3 zu3
小組賽,xiao3 zu3 sai4
小結,xiao3 jie2
小編,xiao3 bian1
小聲,xiao3 sheng1
小腹,xiao3 fu4
小腿,xiao3 tui3
小船,xiao3 chuan2
小花,xiao3 hua1
小菜,xiao3 cai4
小號,xiao3 hao4
小行星,xiao3 xing2 xing1
小計,xiao3 ji4
小說,xiao3 shuo1
小說家,xiao3 shuo1 jia1
小調,xiao3 diao4
小貓,xiao3 mao1
小貝,xiao3 bei4
小販,xiao3 fan4
小費,xiao3 fei4
小資,xiao3 zi1
小賣部,xiao3 mai4 bu4
小路,xiao3 lu4
小車,xiao3 che1
小道,xiao3 dao4
小錢,xiao3 qian2
小鎮,xiao3 zhen4
小雞,xiao3 ji1
小雨,xiao3 yu3
小雪,xiao3 xue3
小靈通,xiao3 ling2 tong1
小馬,xiao3 ma3
小鬼,xiao3 gui3
小鳥,xiao3 niao3
小麥,xiao3 mai4
小黃,xiao3 huang2
小鼠,xiao3 shu3
小龍,xiao3 long2
小龍蝦,xiao3 long2 xia1
尐,jie2
少,shao3
少不了,shao3 bu5 liao3
少之又少,shao3 zhi1 you4 shao3
少來,shao3 lai2
少兒,shao4 er2
少女,shao4 nü3
少婦,shao4 fu4
少將,shao4 jiang4
少年,shao4 nian2
少數,shao3 shu4
少數民族,shao3 shu4 min2 zu2
少有,shao3 you3
少林,shao4 lin2
少林寺,shao4 lin2 si4
少爺,shao4 ye5
少見,shao3 jian4
少許,shao3 xu3
少部分,shao3 bu4 fen5
少量,shao3 liang4
尒,er3
尓,er3
尕,ga3
尖,jian1
尖叫,jian1 jiao4
尖端,jian1 duan1
尖銳,jian1 rui4
尗,shu1
尙,shang4
尚,shang4
尚且,shang4 qie3
尚可,shang4 ke3
尚書,shang4 shu1
尚未,shang4 wei4
尚無,shang4 wu2
尜,ga2
尟,xian3
尠,xian3
尢,wang1
尤,you2
尤其,you2 qi2
尤其是,you2 qi2 shi4
尤文圖斯,you2 wen2 tu2 si1
尤為,you2 wei2
尥,liao4
尨,mang2
尩,wang1
尪,wang1
尬,ga4
尰,zhong3
就,jiu4
就事論事,jiu4 shi4 lun4 shi4
就地,jiu4 di4
就是,jiu4 shi4
就是說,jiu4 shi4 shuo1
就業,jiu4 ye4
就業機會,jiu4 ye4 ji1 hui4
就業率,jiu4 ye4 lü4
就此,jiu4 ci3
就算,jiu4 suan4
就職,jiu4 zhi2
就要,jiu4 yao4
就診,jiu4 zhen3
就讀,jiu4 du2
就近,jiu4 jin4
就醫,jiu4 yi1
就餐,jiu4 can1
尲,gan1
尶,gan1
尷,gan1
尷尬,gan1 ga4
尸,shi1
尹,yin3
尺,chi3
尺寸,chi3 cun5
尺度,chi3 du4
尺碼,chi3 ma3
尻,kao1
尼,ni2
尼克,ni2 ke4
尼姑,ni2 gu1
尼康,ni2 kang1
尼斯,ni2 si1
尼日利亞,ni2 ri4 li4 ya4
尼泊爾,ni2 bo2 er3
尼瑪,ni2 ma3
尼采,ni2 cai3
尼龍,ni2 long2
尾,wei3
尾巴,wei3 ba5
尾聲,wei3 sheng1
尾部,wei3 bu4
尿,niao4
尿尿,niao4 niao4
尿布,niao4 bu4
尿液,niao4 ye4
尿素,niao4 su4
尿道,niao4 dao4
尿酸,niao4 suan1
局,ju2
局勢,ju2 shi4
局域網,ju2 yu4 wang3
局部,ju2 bu4
局長,ju2 zhang3
局限,ju2 xian4
局面,ju2 mian4
屁,pi4
屁屁,pi4 pi5
屁眼,pi4 yan3
屁股,pi4 gu5
屄,bi1
居,ju1
居中,ju1 zhong1
居住,ju1 zhu4
居住地,ju1 zhu4 di4
居多,ju1 duo1
居委會,ju1 wei3 hui4
居室,ju1 shi4
居家,ju1 jia1
居民,ju1 min2
居然,ju1 ran2
居高不下,ju1 gao1 bu4 xia4
屆,jie4
屆時,jie4 shi2
屇,tian2
屈,qu1
屈原,qu1 yuan2
屈指可數,qu1 zhi3 ke3 shu3
屈服,qu1 fu2
屈辱,qu1 ru3
屋,wu1
屋企,wu1 qi3
屋子,wu1 zi5
屋頂,wu1 ding3
屌,diao3
屌絲,diao3 si1
屍,shi1
屍體,shi1 ti3
屎,shi3
屏,ping2
屏保,ping2 bao3
屏幕,ping2 mu4
屏蔽,ping2 bi4
屏障,ping2 zhang4
屏風,ping2 feng1
屐,ji1
屑,xie4
屓,xi4
展,zhan3
展位,zhan3 wei4
展出,zhan3 chu1
展品,zhan3 pin3
展會,zhan3 hui4
展望,zhan3 wang4
展現,zhan3 xian4
展示,zhan3 shi4
展覽,zhan3 lan3
展覽會,zhan3 lan3 hui4
展開,zhan3 kai1
展館,zhan3 guan3
屖,xi1
屘,man3
屙,e1
屛,ping2
屜,ti4
屝,fei4
屠,tu2
屠夫,tu2 fu1
屠宰,tu2 zai3
屠殺,tu2 sha1
屢,lü3
屢屢,lü3 lü3
屢次,lü3 ci4
屢見不鮮,lü3 jian4 bu4 xian1
屣,xi3
層,ceng2
層出不窮,ceng2 chu1 bu4 qiong2
層層,ceng2 ceng2
層樓,ceng2 lou2
層次,ceng2 ci4
層級,ceng2 ji2
層面,ceng2 mian4
履,lü3
履歷,lü3 li4
履行,lü3 xing2
屧,xie4
屨,ju4
屩,jue1
屪,liao2
屫,jue1
屬,shu3
屬下,shu3 xia4
屬實,shu3 shi2
屬性,shu3 xing4
屬於,shu3 yu2
屭,xi4
屮,che4
屯,tun2
山,shan1
山下,shan1 xia4
山區,shan1 qu1
山口,shan1 kou3
山地,shan1 di4
山坡,shan1 po1
山城,shan1 cheng2
山姆,shan1 mu3
山寨,shan1 zhai4
山峰,shan1 feng1
山川,shan1 chuan1
山村,shan1 cun1
山東,shan1 dong1
山東大學,shan1 dong1 da4 xue2
山東省,shan1 dong1 sheng3
山林,shan1 lin2
山楂,shan1 zha1
山水,shan1 shui3
山河,shan1 he2
山洞,shan1 dong4
山海經,shan1 hai3 jing1
山羊,shan1 yang2
山脈,shan1 mai4
山莊,shan1 zhuang1
山藥,shan1 yao5
山西,shan1 xi1
山西省,shan1 xi1 sheng3
山谷,shan1 gu3
山路,shan1 lu4
山野,shan1 ye3
山頂,shan1 ding3
山頭,shan1 tou2
山體,shan1 ti3
屴,li4
屹,yi4
屹立,yi4 li4
屺,qi3
屼,wu4
屾,shen1
岀,chu1
岅,ban3
岈,ya2
岊,jie2
岌,ji2
岍,qian1
岐,qi2
岑,cen2
岒,qian2
岔,cha4
岜,ba1
岝,zuo4
岞,zuo4
岡,gang1
岢,ke3
岣,gou3
岧,tiao2
岨,qu1
岩,yan2
岩石,yan2 shi2
岫,xiu4
岬,jia3
岭,ling2
岱,dai4
岳,yue4
岳母,yue4 mu3
岳父,yue4 fu4
岳陽,yue4 yang2
岳飛,yue4 fei1
岵,hu4
岷,min2
岸,an4
岸上,an4 shang4
岸邊,an4 bian1
岹,tiao2
峀,xiu4
峁,mao3
峂,tong2
峇,ba1
峋,xun2
峒,dong4
峓,yi2
峙,zhi4
峚,mi4
峝,tong2
峞,wei2
峧,jiao1
峨,e2
峨嵋,e2 mei2
峨眉山,e2 mei2 shan1
峩,e2
峪,yu4
峭,qiao4
峯,feng1
峰,feng1
峱,nao2
峴,xian4
島,dao3
島嶼,dao3 yu3
峹,tu2
峻,jun4
峽,xia2
峽谷,xia2 gu3
峿,wu2
崀,lang4
崁,kan3
崆,kong1
崇,chong2
崇尚,chong2 shang4
崇拜,chong2 bai4
崇敬,chong2 jing4
崇禎,chong2 zhen1
崇高,chong2 gao1
崋,hua2
崌,ju1
崍,lai2
崎,qi2
崏,min2
崐,kun1
崑,kun1
崑山,kun1 shan1
崑崙,kun1 lun2
崒,cui4
崓,gu4
崔,cui1
崔健,cui1 jian4
崔永元,cui1 yong3 yuan2
崖,ya2
崗,gang3
崗位,gang3 wei4
崘,lun2
崙,lun2
崚,leng2
崛,jue2
崛起,jue2 qi3
崞,guo1
崟,yin2
崠,dong1
崢,zheng1
崤,xiao2
崦,yan1
崧,song1
崩,beng1
崩塌,beng1 ta1
崩壞,beng1 huai4
崩潰,beng1 kui4
崩盤,beng1 pan2
崬,dong1
崮,gu4
崯,yin2
崱,ze2
崳,yu2
崴,wai3
崶,feng1
崽,zai3
崾,yao3
崿,e4
嵂,lü4
嵄,mei3
嵇,ji1
嵊,sheng4
嵋,mei2
嵌,qian4
嵌入,qian4 ru4
嵌入式,qian4 ru4 shi4
嵌套,qian4 tao4
嵎,yu2
嵐,lan2
嵒,yan2
嵓,yan2
嵖,cha2
嵗,sui4
嵙,ke1
嵛,yu2
嵞,tu2
嵡,weng3
嵩,song1
嵫,zi1
嵬,wei2
嵯,cuo2
嵴,ji2
嵺,liao2
嵼,chan3
嵾,cen1
嶁,lou3
嶂,zhang4
嶃,chan2
嶄,zhan3
嶄新,zhan3 xin1
嶅,ao2
嶇,qu1
嶋,dao3
嶌,dao3
嶒,ceng2
嶓,bo1
嶔,qin1
嶖,yan1
嶗,lao2
嶗山,lao2 shan1
嶙,lin2
嶝,deng4
嶞,duo4
嶟,zun1
嶠,jiao4
嶡,gui4
嶢,yao2
嶧,yi4
嶨,xue2
嶪,ye4
嶫,ye4
嶭,e4
嶮,xian3
嶰,xie4
嶲,xi1
嶴,ao4
嶷,yi2
嶸,rong2
嶺,ling3
嶺南,ling3 nan2
嶼,yu3
嶽,yue4
巂,gui1
巃,long2
巆,ying2
巇,xi1
巉,chan2
巋,kui1
巍,wei1
巍峨,wei1 e2
巒,luan2
巓,dian1
巔,dian1
巔峰,dian1 feng1
巖,yan2
巗,yan2
巘,yan3
巚,yan3
巛,chuan1
巜,kuai4
川,chuan1
川普,chuan1 pu3
川端康成,chuan1 duan1 kang1 cheng2
川菜,chuan1 cai4
州,zhou1
州長,zhou1 zhang3
巟,huang1
巠,jing1
巡,xun2
巡查,xun2 cha2
巡演,xun2 yan3
巡視,xun2 shi4
巡警,xun2 jing3
巡迴,xun2 hui2
巡邏,xun2 luo2
巢,chao2
巤,lie4
工,gong1
工事,gong1 shi4
工人,gong1 ren2
工人階級,gong1 ren2 jie1 ji2
工件,gong1 jian4
工作,gong1 zuo4
工作人員,gong1 zuo4 ren2 yuan2
工作單位,gong1 zuo4 dan1 wei4
工作報告,gong1 zuo4 bao4 gao4
工作室,gong1 zuo4 shi4
工作日,gong1 zuo4 ri4
工作時間,gong1 zuo4 shi2 jian1
工作服,gong1 zuo4 fu2
工作流,gong1 zuo4 liu2
工作流程,gong1 zuo4 liu2 cheng2
工作站,gong1 zuo4 zhan4
工作組,gong1 zuo4 zu3
工作者,gong1 zuo4 zhe3
工作量,gong1 zuo4 liang4
工傷,gong1 shang1
工具,gong1 ju4
工具書,gong1 ju4 shu1
工具欄,gong1 ju4 lan2
工具箱,gong1 ju4 xiang1
工匠,gong1 jiang4
工商,gong1 shang1
工商銀行,gong1 shang1 yin2 hang2
工單,gong1 dan1
工地,gong1 di4
工夫,gong1 fu1
工委,gong1 wei3
工學院,gong1 xue2 yuan4
工序,gong1 xu4
工廠,gong1 chang3
工整,gong1 zheng3
工時,gong1 shi2
工會,gong1 hui4
工期,gong1 qi1
工業,gong1 ye4
工業化,gong1 ye4 hua4
工業區,gong1 ye4 qu1
工業園區,gong1 ye4 yuan2 qu1
工業大學,gong1 ye4 da4 xue2
工業設計,gong1 ye4 she4 ji4
工業革命,gong1 ye4 ge2 ming4
工況,gong1 kuang4
工科,gong1 ke1
工程,gong1 cheng2
工程師,gong1 cheng2 shi1
工種,gong1 zhong3
工藝,gong1 yi4
工藝品,gong1 yi4 pin3
工行,gong1 hang2
工資,gong1 zi1
工農,gong1 nong2
工錢,gong1 qian2
工齡,gong1 ling2
左,zuo3
左側,zuo3 ce4
左傳,zuo3 zhuan4
左右,zuo3 you4
左宗棠,zuo3 zong1 tang2
左岸,zuo3 an4
左手,zuo3 shou3
左派,zuo3 pai4
左翼,zuo3 yi4
左邊,zuo3 bian5
巧,qiao3
巧克力,qiao3 ke4 li4
巧合,qiao3 he2
巧妙,qiao3 miao4
巧言令色,qiao3 yan2 ling4 se4
巨,ju4
巨人,ju4 ren2
巨型,ju4 xing2
巨大,ju4 da4
巨星,ju4 xing1
巨無霸,ju4 wu2 ba4
巨石,ju4 shi2
巨蟹,ju4 xie4
巨蟹座,ju4 xie4 zuo4
巨資,ju4 zi1
巨量,ju4 liang4
巨頭,ju4 tou2
巨額,ju4 e2
巨龍,ju4 long2
巫,wu1
巫婆,wu1 po2
巫師,wu1 shi1
差,cha1
差一點,cha4 yi1 dian3
差不多,cha4 bu5 duo1
差價,cha1 jia4
差別,cha1 bie2
差勁,cha4 jin4
差異,cha1 yi4
差異化,cha1 yi4 hua4
差異性,cha1 yi4 xing4
差評,cha4 ping2
差距,cha1 ju4
差錯,cha1 cuo4
差額,cha1 e2
差點,cha4 dian3
巰,qiu2
己,ji3
己方,ji3 fang1
已,yi3
已久,yi3 jiu3
已婚,yi3 hun1
已然,yi3 ran2
已知,yi3 zhi1
已經,yi3 jing1
巳,si4
巴,ba1
巴勒斯坦,ba1 le4 si1 tan3
巴基斯坦,ba1 ji1 si1 tan3
巴塞羅那,ba1 sai4 luo2 na4
巴士,ba1 shi4
巴巴,ba1 ba1
巴掌,ba1 zhang5
巴格達,ba1 ge2 da2
巴薩,ba1 sa4
巴西,ba1 xi1
巴赫,ba1 he4
巴黎,ba1 li2
巵,zhi1
巷,xiang4
巷子,xiang4 zi5
巹,jin3
巽,xun4
巾,jin1
巿,fu2
帀,za1
市,shi4
市中心,shi4 zhong1 xin1
市值,shi4 zhi2
市價,shi4 jia4
市內,shi4 nei4
市區,shi4 qu1
市場,shi4 chang3
市場份額,shi4 chang3 fen4 e2
市場價,shi4 chang3 jia4
市場化,shi4 chang3 hua4
市場營銷,shi4 chang3 ying2 xiao1
市場競爭,shi4 chang3 jing4 zheng1
市場經濟,shi4 chang3 jing1 ji4
市場調查,shi4 chang3 diao4 cha2
市委,shi4 wei3
市容,shi4 rong2
市政,shi4 zheng4
市政府,shi4 zheng4 fu3
市民,shi4 min2
市淨率,shi4 jing4 lü4
市盈率,shi4 ying2 lü4
市縣,shi4 xian4
市長,shi4 zhang3
市面,shi4 mian4
市面上,shi4 mian4 shang4
布,bu4
布丁,bu4 ding1
布什,bu4 shi2
布拉格,bu4 la1 ge2
布料,bu4 liao4
布朗,bu4 lang3
布滿,bu4 man3
布爾,bu4 er3
布萊爾,bu4 lai2 er3
布衣,bu4 yi1
布魯斯,bu4 lu3 si1
帄,ding1
帆,fan1
帆船,fan1 chuan2
帋,zhi3
希,xi1
希拉里,xi1 la1 li3
希望,xi1 wang4
希爾,xi1 er3
希爾頓,xi1 er3 dun4
希特勒,xi1 te4 le4
希臘,xi1 la4
帑,tang3
帔,pei4
帕,pa4
帕薩特,pa4 sa4 te4
帖,tie3
帖子,tie3 zi5
帗,fu2
帘,lian2
帙,zhi4
帚,zhou3
帛,bo2
帝,di4
帝國,di4 guo2
帝國主義,di4 guo2 zhu3 yi4
帝王,di4 wang2
帝都,di4 du1
帟,yi4
帡,ping2
帣,juan4
帥,shuai4
帥哥,shuai4 ge1
帥氣,shuai4 qi5
帨,shui4
師,shi1
師傅,shi1 fu5
師兄,shi1 xiong1
師大,shi1 da4
師妹,shi1 mei4
師姐,shi1 jie3
師弟,shi1 di4
師徒,shi1 tu2
師父,shi1 fu5
師生,shi1 sheng1
師範,shi1 fan4
師範大學,shi1 fan4 da4 xue2
師範學院,shi1 fan4 xue2 yuan4
師資,shi1 zi1
師長,shi1 zhang3
帬,qun2
席,xi2
席位,xi2 wei4
席捲,xi2 juan3
帲,ping2
帳,zhang4
帳戶,zhang4 hu4
帳目,zhang4 mu4
帳篷,zhang4 peng5
帳號,zhang4 hao4
帶,dai4
帶上,dai4 shang4
帶來,dai4 lai2
帶兵,dai4 bing1
帶動,dai4 dong4
帶去,dai4 qu5
帶回,dai4 hui2
