# Mandarin Pinyin dictionary derived from CC-CEDICT (CC BY-SA 4.0)
# Toneless continuous keys; u: and ü are normalized to v.
# Noncanonical readings and non-Han headwords are excluded before shipping.
# Source URL: https://cc-cedict.org/editor/editor_export_cedict.php?c=gz
# Source date: 2026-07-12T16:23:25Z
# Source SHA-256: 90e2881776366f606171a977a1f54786196f428ba604c728a279d4aaff7223a8
# CC-CEDICT format: version=1; subversion=0
# Fallback frequency: single character=0.3000; two-character word=0.2500; multi-character phrase=0.2000.
# Canonical persisted override: mao->貓=1.0000.
# Runtime budgets: rows<=130000; bytes<=4194304; fanout<=256; key_length<=72.
pinyin,chinese,freq
buleidunsenlin,布雷頓森林,0.2000
buleijian,佈雷艦,0.2000
buleisite,布雷斯特,0.2000
buli,不利,0.3894
buli,不理,0.3119
buli,不力,0.2567
buli,步犁,0.2500
buliang,不良,0.3798
buliangqingxiang,不良傾向,0.2000
buliangren,不良人,0.2000
bulianxu,不連續,0.2000
bulianxumian,不連續面,0.2000
buliao,不了,0.5579
buliao,不料,0.2679
buliao,布料,0.2666
buliaoliaozhi,不了了之,0.2514
bulibucai,不理不睬,0.2000
bulibuqi,不離不棄,0.2000
bulie,捕獵,0.2480
buliedian,不列顛,0.2000
buliedianbaoweizhan,不列顛保衛戰,0.2000
buliediangelunbiya,不列顛哥倫比亞,0.2000
buliediangelunbiyasheng,不列顛哥倫比亞省,0.2000
buliedianzhanyi,不列顛戰役,0.2000
buliedianzhudao,不列顛諸島,0.2000
buliesite,布列斯特,0.2000
bulietani,布列塔尼,0.2000
bulin,不吝,0.2500
bulin,卟啉,0.2500
bulin,布林,0.2500
bulincijiao,不吝賜教,0.2000
bulindixi,布林迪西,0.2000
buling,不靈,0.2531
bulinzhuyu,不吝珠玉,0.2000
buliqidun,布里奇頓,0.2000
bulir,不離兒,0.2000
bulisiban,布里斯班,0.2000
bulisituo,布里斯托,0.2000
bulisituoer,布里斯托爾,0.2000
bulisituoerhaixia,布里斯托爾海峽,0.2000
bulitanni,布里坦尼,0.2000
buliteni,布里特妮,0.2000
bulongboge,布隆伯格,0.2000
bulongdi,布隆迪,0.2000
bulongfangdan,布隆方丹,0.2000
bulu,補爐,0.2500
buluke,布魯克,0.2000
bulukehaiwenguojiashiyanshi,布魯克海文國家實驗室,0.2000
bulukehaiwenshiyanshi,布魯克海文實驗室,0.2000
bulukelin,布魯克林,0.2000
bulukelindaqiao,布魯克林大橋,0.2000
bulumusiboli,布魯姆斯伯里,0.2000
bulun,不論,0.4907
bulun,不倫,0.2500
bulunbulei,不倫不類,0.2000
bulunni,布倫尼,0.2000
bulunqingjiqiang,布倫輕機槍,0.2000
buluo,部落,0.3996
buluofen,布洛芬,0.2000
buluoge,部落格,0.2000
buluohenji,不落痕跡,0.2000
buluoke,部落客,0.2000
buluokejiu,不落窠臼,0.2000
buluosutao,不落俗套,0.2000
buluotuo,布洛陀,0.2000
buluri,布魯日,0.2000
bulusaier,布魯塞爾,0.2000
bulushengse,不露聲色,0.2000
bulushijunbing,布魯氏菌病,0.2000
bulusi,布魯斯,0.3499
bulutesi,布魯特斯,0.2000
bulutusi,布魯圖斯,0.2000
buluyan,捕虜岩,0.2000
bulv,步履,0.2500
bulvpanshan,步履蹣跚,0.2000
bulvweijian,步履維艱,0.2000
buma,補碼,0.2500
buman,不滿,0.4742
buman,補滿,0.2500
buman,布滿,0.2481
bumang,不忙,0.2984
bumanyi,不滿意,0.3767
bumao,不毛,0.2500
bumaozhidi,不毛之地,0.2000
bumen,部門,0.6340
bumian,不免,0.2973
bumian,補眠,0.2500
bumianbuxiu,不眠不休,0.2000
bumianyisi,不免一死,0.2000
bumiao,不妙,0.2539
bumiao,補苗,0.2500
buming,不明,0.3602
bumingbubai,不明不白,0.2000
bumingfeixingwu,不明飛行物,0.2000
bumingjiuli,不明就裡,0.2000
bumingjueli,不明覺厲,0.2000
bumingque,不明確,0.2660
bumingshili,不明事理,0.2000
bumingshu,不名數,0.2000
bumingyiqian,不名一錢,0.2000
bumingyiwen,不名一文,0.2000
bumingyu,不名譽,0.2000
bumotou,不摸頭,0.2000
bumouerhe,不謀而合,0.2000
bumu,不睦,0.2500
bumu,布幕,0.2500
bumuru,哺母乳,0.2000
buna,捕拿,0.2500
bunaifan,不耐煩,0.2700
bunaishou,不耐受,0.2000
bunang,布囊,0.2500
buneng,不能,0.7475
bunengbu,不能不,0.2000
bunengziyi,不能自已,0.2000
bunian,步輦,0.2500
bunianjiue,不念舊惡,0.2000
buniaozhu,捕鳥蛛,0.2000
buning,不佞,0.2500
buniyabingdu,布尼亞病毒,0.2000
bunizhanzheng,布匿戰爭,0.2000
bunongzu,布農族,0.2000
bunuerwei,不怒而威,0.2000
buou,布偶,0.2500
buoumao,布偶貓,0.2000
buouzhuang,布偶裝,0.2000
bupa,不怕,0.4313
bupazeitoujiupazeidianji,不怕賊偷就怕賊惦記,0.2000
bupi,布匹,0.2500
bupianbuyi,不偏不倚,0.2000
bupianjiubi,補偏救弊,0.2000
bupianxie,不偏斜,0.2000
bupiao,補票,0.2500
bupiaochu,補票處,0.2000
bupin,補品,0.2500
buping,不平,0.2671
bupingchang,不平常,0.2000
bupingdeng,不平等,0.2788
bupingdengtiaoyue,不平等條約,0.2000
bupingfan,不平凡,0.2000
bupingheng,不平衡,0.3247
bupingzeming,不平則鳴,0.2000
bupobuli,不破不立,0.2000
buqi,不期,0.2500
buqiang,步槍,0.2847
buqiang,補強,0.2500
buqiao,不巧,0.2500
buqieheshiji,不切合實際,0.2000
buqieryu,不期而遇,0.2000
buqierzhi,不期而至,0.2000
buqieshiji,不切實際,0.2713
buqing,不清,0.3098
buqingchu,不清楚,0.4606
buqingrao,不輕饒,0.2000
buqingyuan,不情願,0.2000
buqingzhiqing,不情之請,0.2000
buqingzilai,不請自來,0.3365
buqinren,捕禽人,0.2000
buqiong,不窮,0.2500
buqiongbula,布瓊布拉,0.2000
buqiranerran,不期然而然,0.2000
buqiuren,不求人,0.2000
buqiushenjie,不求甚解,0.2000
buqiushouhuo,不求收獲,0.2000
buqiyan,不起眼,0.2856
buqiyanr,不起眼兒,0.2000
buqu,不屈,0.2500
buqubunao,不屈不撓,0.2000
buque,補缺,0.2500
buque,補闕,0.2500
buquedingxingyuanli,不確定性原理,0.2000
buqueshi,不確實,0.2000
buqueshiyi,補缺拾遺,0.2000
buqufendaxiaoxie,不區分大小寫,0.2000
buquli,不去理,0.2000
bur,不兒,0.2500
buran,不然,0.6384
burangxumei,不讓鬚眉,0.2000
burdao,不兒道,0.2000
burejinsiji,布熱津斯基,0.2000
buren,不忍,0.2714
buren,不仁,0.2500
burendao,不人道,0.2000
burenhouchen,步人後塵,0.2000
burenxin,不忍心,0.2569
buri,不日,0.2500
burong,不容,0.2766
burong,不溶,0.2500
burongxiaoqu,不容小覷,0.2000
burongzhibian,不容置辯,0.2000
burongzhiyi,不容置疑,0.2000
buru,不如,0.6686
buru,步入,0.3102
buru,哺乳,0.2539
burudongwu,哺乳動物,0.2968
burugang,哺乳綱,0.2000
burulei,哺乳類,0.2000
buruo,不若,0.2500
buruqi,哺乳期,0.2000
bururenyi,不如人意,0.2000
burushiyi,不入時宜,0.2000
busanbusi,不三不四,0.2000
busaqi,布灑器,0.2000
buse,補色,0.2500
busha,捕殺,0.2500
bushan,不善,0.2589
bushangpiwei,不傷脾胃,0.2000
bushao,不少,0.6916
bushao,步哨,0.2500
bushe,不捨,0.2672
bushen,不慎,0.2979
bushen,不甚,0.2588
busheng,不勝,0.2685
bushengbuxiang,不聲不響,0.2000
bushengjiuli,不勝酒力,0.2000
bushengmeiju,不勝枚舉,0.2000
bushengqifan,不勝其煩,0.2000
bushengqiku,不勝其苦,0.2000
bushengqirao,不勝其擾,0.2000
bushi,不是,0.7732
bushi,不適,0.3944
bushi,布什,0.3254
bushi,不失,0.3098
bushi,不時,0.2915
bushi,不實,0.2540
bushi,捕食,0.2520
bushi,卜筮,0.2500
bushi,布施,0.2500
bushi,補時,0.2500
bushichisude,不是吃素的,0.2000
bushidang,不適當,0.2000
bushidati,不識大體,0.2000
bushidongxi,不是東西,0.2000
bushier,布什爾,0.2000
bushifeiji,布氏非鯽,0.2000
bushiganjunbing,布氏桿菌病,0.2000
bushigaodi,不識高低,0.2000
bushihaodai,不識好歹,0.2000
bushihua,不是話,0.2000
bushiliu,布氏鷚,0.2000
bushilushanzhenmianmu,不識廬山真面目,0.2000
bushima,不是嗎,0.3212
bushirenjianyanhuo,不食人間煙火,0.2000
bushishengchan,不事生產,0.2000
bushishibian,不識時變,0.2000
bushishiji,不失時機,0.2000
bushishiwu,不識時務,0.2000
bushitaiju,不識抬舉,0.2000
bushitaishan,不識泰山,0.2000
bushiwei,不失為,0.2000
bushiweir,不是味兒,0.2000
bushiweiying,布氏葦鶯,0.2000
bushiyiding,不識一丁,0.2000
bushiyijiarenbujinyijiamen,不是一家人不進一家門,0.2000
bushiyuanjiabujutou,不是冤家不聚頭,0.2000
bushiyusijiushiwangpo,不是魚死就是網破,0.2000
bushizhangyang,不事張揚,0.2000
bushizhe,捕食者,0.2000
bushizhixu,不時之需,0.2000
bushizi,不識字,0.2000
bushiziwei,不是滋味,0.2000
bushou,捕手,0.2500
bushou,部首,0.2500
bushoubianpaifa,部首編排法,0.2000
bushouhuanying,不受歡迎,0.2000
bushouxianshiyong,不首先使用,0.2000
bushu,部署,0.4075
bushu,布署,0.2500
bushu,補數,0.2500
bushu,部屬,0.2500
bushuai,不衰,0.2500
bushuang,不爽,0.3655
bushufu,不舒服,0.4099
bushui,補稅,0.2481
bushun,不順,0.2732
bushuoziming,不說自明,0.2000
bushuqi,捕鼠器,0.2000
bushushi,不舒適,0.2000
busibuxiu,不死不休,0.2000
busixin,不死心,0.2000
busiyao,不死藥,0.2000
busong,不送,0.2490
busongbula,布松布拉,0.2000
busongqi,不送氣,0.2000
busu,不俗,0.2725
busu,不速,0.2500
busuan,不算,0.5749
busuerzhi,不速而至,0.2000
busui,不遂,0.2500
busuiboli,不碎玻璃,0.2000
busuiyi,不隨意,0.2000
busuiyiji,不隨意肌,0.2000
busuzhike,不速之客,0.2000
butai,步態,0.2500
butai,補胎,0.2500
butaihao,不太好,0.4402
butaipanshan,步態蹣跚,0.2000
butaipian,補胎片,0.2000
butaosou,逋逃藪,0.2000
bute,不特,0.2500
buti,不題,0.2500
buti,補體,0.2500
butianyuri,補天浴日,0.2000
butiaohe,不調和,0.2000
butie,補貼,0.4860
butimian,不體面,0.2000
buting,不停,0.5056
butingming,不聽命,0.2000
butiyeba,不提也罷,0.2000
butong,不同,0.7486
butong,不通,0.3104
butongbuyang,不痛不癢,0.2000
butongfanxiang,不同凡響,0.2000
butongxunchang,不同尋常,0.2000
butou,埠頭,0.2500
butou,捕頭,0.2500
butou,部頭,0.2500
butoubuqiang,不偷不搶,0.2000
butouming,不透明,0.2515
butouqi,不透氣,0.2000
butoushui,不透水,0.2000
butu,不圖,0.2500
butubukuai,不吐不快,0.2000
butuo,不妥,0.2858
butuo,布托,0.2500
butuo,布拖,0.2500
butuoxian,布拖縣,0.2000
butuoxie,不妥協,0.2000
butuqi,不吐氣,0.2000
buwai,不外,0.2500
buwaihu,不外乎,0.2000
buwailu,不外露,0.2000
buwang,不枉,0.2500
buwanquanguinatuili,不完全歸納推理,0.2000
buwanquanye,不完全葉,0.2000
buwanshan,不完善,0.2638
buwawa,布娃娃,0.2000
buwei,部位,0.4960
buwei,部委,0.2687
buwei,不惟,0.2500
buwei,不畏,0.2500
buwei,不謂,0.2500
buwei,不韙,0.2500
buweiguo,不為過,0.2000
buweijiukun,不為酒困,0.2000
buweinongshi,不違農時,0.2000
buweiqiangbao,不畏強暴,0.2000
buweiqiangquan,不畏強權,0.2000
buweirenzhi,不為人知,0.2000
buweisuodong,不為所動,0.2000
buweiyishen,不為已甚,0.2000
buweizuoyoutan,不為左右袒,0.2000
buwen,不穩,0.2915
buwen,不問,0.2706
buwen,卜問,0.2500
buwenbuhuo,不溫不火,0.2000
buwenbuwen,不聞不問,0.2000
buwenpingheng,不穩平衡,0.2000
buwenqinghongzaobai,不問青紅皂白,0.2000
buwenxing,不穩性,0.2000
buwu,不無,0.2500
buwu,不誤,0.2500
buwu,佈伍,0.2500
buwu,布伍,0.2500
buwu,步武,0.2500
buwuxiaobu,不無小補,0.2000
buwuzhengye,不務正業,0.2000
buxi,不惜,0.3382
buxi,補習,0.2631
buxi,不息,0.2537
buxi,布希,0.2500
buxia,不下,0.3504
buxia,部下,0.2715
buxia,不暇,0.2500
buxia,布下,0.2500
buxian,布線,0.2500
buxiang,不想,0.6273
buxiang,不詳,0.2711
buxiang,不祥,0.2500
buxiangfu,不相符,0.2000
buxianggan,不相干,0.2000
buxianghua,不像話,0.2000
buxianghua,不象話,0.2000
buxiangma,不香嗎,0.2000
buxiangrong,不相容,0.2000
buxiangrongyuanli,不相容原理,0.2000
buxiangshangxia,不相上下,0.2626
buxiangyang,不像樣,0.2000
buxiangzhizhao,不祥之兆,0.2000
buxianshanbulushui,不顯山不露水,0.2000
buxiao,不孝,0.2500
buxiao,不消,0.2500
buxiao,不肖,0.2500
buxiayu,不下於,0.2000
buxiban,補習班,0.2545
buxie,不屑,0.3058
buxie,不懈,0.2625
buxie,不謝,0.2500
buxie,布鞋,0.2500
buxie,補瀉,0.2500
buxiedai,不懈怠,0.2000
buxietiao,不協調,0.2000
buxieyigu,不屑一顧,0.2498
buxing,不行,0.6261
buxing,不幸,0.4003
buxing,步行,0.3021
buxing,不興,0.2500
buxingchong,步行蟲,0.2000
buxingjie,步行街,0.2607
buxingle,不行了,0.3364
buxingqu,步行區,0.2000
buxingrenshi,不省人事,0.2000
buxingyanzhong,不幸言中,0.2000
buxingzhe,步行者,0.2000
buxingzhishi,不幸之事,0.2000
buxingzhixing,不幸之幸,0.2000
buxinrenan,不信任案,0.2000
buxinrendongyi,不信任動議,0.2000
buxinrentoupiao,不信任投票,0.2000
buxiu,不休,0.2574
buxiu,不朽,0.2571
buxiu,補休,0.2500
buxiubianfu,不修邊幅,0.2000
buxiugang,不鏽鋼,0.3429
buxiugang,不銹鋼,0.2000
buxiutie,不鏽鐵,0.2000
buxiweike,布希威克,0.2000
buxiwupen,不喜勿噴,0.2000
buxixie,布希鞋,0.2000
buxixueben,不惜血本,0.2000
buxiyizhan,不惜一戰,0.2000
buxu,不許,0.3368
buxu,不恤,0.2500
buxuan,補選,0.2500
buxuanerzhan,不宣而戰,0.2000
buxucixing,不虛此行,0.2000
buxue,補血,0.2591
buxuewushu,不學無術,0.2000
buxumanren,布須曼人,0.2000
buxun,不遜,0.2500
buxurenyan,不恤人言,0.2000
buya,不雅,0.2573
buya,不亞,0.2500
buya,補牙,0.2500
buyaguan,不雅觀,0.2000
buyan,不厭,0.2500
buyanbuyu,不言不語,0.2000
buyaneryu,不言而喻,0.2874
buyang,哺養,0.2500
buyang,補養,0.2500
buyanqifan,不厭其煩,0.2000
buyanziming,不言自明,0.2000
buyao,不要,0.7449
buyao,步搖,0.2500
buyao,補藥,0.2500
buyaojin,不要緊,0.2932
buyaolian,不要臉,0.2764
buyaozaiyikeshushangdiaosi,不要在一棵樹上吊死,0.2000
buyayu,不亞於,0.3127
buye,補液,0.2500
buyi,不易,0.4882
buyi,不宜,0.3423
buyi,不已,0.3133
buyi,不一,0.2973
buyi,布衣,0.2634
buyi,不亦,0.2500
buyi,不依,0.2500
buyi,不意,0.2500
buyi,不移,0.2500
buyi,不義,0.2500
buyi,布依,0.2500
buyi,補益,0.2500
buyi,補遺,0.2500
buyiburao,不依不饒,0.2000
buyicihaizhi,不以詞害誌,0.2000
buyicihaizhi,不以辭害志,0.2000
buyiding,不一定,0.5849
buyierfei,不翼而飛,0.2000
buyierzu,不一而足,0.2000
buyihui,不一會,0.2000
buyilehu,不亦樂乎,0.2495
buyingcao,捕蠅草,0.2000
buyingqi,不應期,0.2000
buyinuosiailisi,布宜諾斯艾利斯,0.2000
buyirenfeiyan,不以人廢言,0.2000
buyiweidai,布衣韋帶,0.2000
buyiweiran,不以為然,0.2000
buyiweiyi,不以為意,0.2000
buyiyang,不一樣,0.6698
buyiyuli,不遺餘力,0.2510
buyizhicai,不義之財,0.2000
buyizhilun,不易之論,0.2000
buyizhizi,不一致字,0.2000
buyizu,布依族,0.2000
buyong,不用,0.6919
buyongkeqi,不用客氣,0.2000
buyongshuo,不用說,0.3047
buyongxie,不用謝,0.2000
buyongzhao,不用找,0.2000
buyou,不由,0.2830
buyoude,不由得,0.2733
buyoufenshuo,不由分說,0.2000
buyouzizhu,不由自主,0.2667
buyu,不語,0.2595
buyu,不渝,0.2500
buyu,不虞,0.2500
buyu,不豫,0.2500
buyu,哺育,0.2500
buyu,捕魚,0.2500
buyu,補語,0.2500
buyu,不育,0.2488
buyuan,不願,0.4069
buyuanqianli,不遠千里,0.2000
buyuantong,不圓通,0.2000
buyue,不悅,0.2500
buyue,不月,0.2500
buyue,步月,0.2500
buyueertong,不約而同,0.2591
buyueleichi,不越雷池,0.2000
buyukuai,不愉快,0.2524
buyukuifa,不虞匱乏,0.2000
buyulihui,不予理會,0.2000
buyun,不孕,0.2562
buyun,步韻,0.2500
buyunbuhuo,不慍不火,0.2000
buyunzheng,不孕症,0.2000
buyupinglun,不予評論,0.2000
buyuxing,不育性,0.2000
buyuzheng,不育症,0.2000
buyuzhiping,不予置評,0.2000
buzade,不咋地,0.2000
buzade,不咋的,0.2000
buzai,不再,0.6116
buzai,不在,0.5449
buzaihu,不在乎,0.3787
buzaihuaxia,不在話下,0.2621
buzaile,不在了,0.2000
buzaiyi,不在意,0.3062
buzaizhuangtai,不在狀態,0.2000
buzancheng,不贊成,0.2000
buzanyici,不贊一詞,0.2000
buzenme,不怎麼,0.4861
buzenmeyang,不怎麼樣,0.2862
buzeshouduan,不擇手段,0.2650
buzhai,卜宅,0.2500
buzhan,卜占,0.2500
buzhan,布展,0.2500
buzhanbuhe,不戰不和,0.2000
buzhang,部長,0.3706
buzhanghui,部長會,0.2000
buzhanghuiyi,部長會議,0.2000
buzhangji,部長級,0.2000
buzhangjihuiyi,部長級會議,0.2000
buzhangjin,不長進,0.2000
buzhanguo,不粘鍋,0.2974
buzhanguo,不沾鍋,0.2000
buzhangyanjing,不長眼睛,0.2000
buzhao,不著,0.2500
buzhebukou,不折不扣,0.2524
buzhen,不振,0.2500
buzheng,不爭,0.2562
buzheng,卜征,0.2500
buzhengchang,不正常,0.3394
buzhengdang,不正當,0.2000
buzhengdangguanxi,不正當關係,0.2000
buzhengdangjingzheng,不正當競爭,0.2000
buzhengmantouzhengkouqi,不蒸饅頭爭口氣,0.2000
buzhengqi,不爭氣,0.2000
buzhengque,不正確,0.3101
buzhengzhifeng,不正之風,0.2000
buzhi,不知,0.5444
buzhi,不止,0.4944
buzhi,佈置,0.3890
buzhi,不只,0.2875
buzhi,不值,0.2757
buzhi,不支,0.2500
buzhi,不智,0.2500
buzhi,不治,0.2500
buzhi,不致,0.2500
buzhibujue,不知不覺,0.3156
buzhibuqiu,不忮不求,0.2000
buzhide,不值得,0.3459
buzhidingdong,不知丁董,0.2000
buzhieryu,不治而癒,0.2000
buzhifanji,不知凡幾,0.2000
buzhihaodai,不知好歹,0.2000
buzhihegu,不知何故,0.2000
buzhijintui,不知進退,0.2000
buzhijiuli,不知就裡,0.2000
buzhikefou,不置可否,0.2000
buzhilihai,不知利害,0.2000
buzhipijuan,不知疲倦,0.2000
buzhiqian,不值錢,0.2843
buzhiqingzhong,不知輕重,0.2000
buzhiquxiang,不知去向,0.2000
buzhisihuo,不知死活,0.2000
buzhisuocuo,不知所措,0.2826
buzhisuowei,不知所謂,0.2000
buzhisuoyi,不知所以,0.2000
buzhisuoyun,不知所云,0.2487
buzhisuozhi,不知所之,0.2000
buzhisuozhong,不知所終,0.2000
buzhisuozong,不知所蹤,0.2000
buzhitiangaodihou,不知天高地厚,0.2000
buzhitongyang,不知痛癢,0.2000
buzhixiuchi,不知羞恥,0.2000
buzhiyibo,不值一駁,0.2000
buzhiyici,不止一次,0.2934
buzhiyiwen,不值一文,0.2000
buzhiyixiao,不值一笑,0.2000
buzhiyu,不至於,0.4487
buzhizhebuzui,不知者不罪,0.2000
buzhizhizheng,不治之症,0.2000
buzhong,補種,0.2500
buzhong,部衆,0.2500
buzhongyi,不中意,0.2000
buzhongyong,不中用,0.2000
buzhou,步驟,0.5882
buzhou,不周,0.2500
buzhoubuye,卜晝卜夜,0.2000
buzhoushan,不周山,0.2000
buzhouyan,不周延,0.2000
buzhu,不住,0.3787
buzhu,補助,0.3127
buzhuangnanqiangbuhuitou,不撞南牆不回頭,0.2000
buzhuguchang,不主故常,0.2000
buzhui,補綴,0.2500
buzhun,不准,0.3853
buzhunque,不準確,0.3196
buzhunxu,不准許,0.2000
buzhuo,捕捉,0.3464
buzhuobianji,不著邊際,0.2000
buzhuohenji,不著痕跡,0.2000
buzhuolufeixing,不著陸飛行,0.2000
buzhuyi,不注意,0.2796
buzi,步子,0.2514
buzi,不貲,0.2500
buzi,堡子,0.2500
buzi,簿子,0.2500
buzi,餔子,0.2500
buziliang,不自量,0.2000
buziliangli,不自量力,0.2000
buziran,不自然,0.2641
buzizai,不自在,0.2000
buzu,不足,0.6310
buzu,補足,0.2703
buzu,部族,0.2584
buzu,步足,0.2500
buzuchishu,不足齒數,0.2000
buzudao,不足道,0.2000
buzue,補足額,0.2000
buzuguachi,不足掛齒,0.2000
buzuibugui,不醉不歸,0.2000
buzuosheng,不做聲,0.2000
buzuosijiubuhuisi,不作死就不會死,0.2000
buzuowei,不作為,0.2000
buzuweidao,不足為道,0.2000
buzuweiguai,不足為怪,0.2000
buzuweilv,不足為慮,0.2000
buzuweiqi,不足為奇,0.2000
buzuweiwairendao,不足為外人道,0.2000
buzuweixun,不足為訓,0.2000
buzuyincheng,補足音程,0.2000
buzuyue,不足月,0.2000
ca,擦,0.3579
ca,嚓,0.2328
ca,礤,0.2305
cabangqiu,擦棒球,0.2000
cabian,擦邊,0.2500
cabianqiu,擦邊球,0.2000
caca,嚓嚓,0.2500
cacabi,擦擦筆,0.2000
cachu,擦除,0.2500
cachuang,礤床,0.2500
cachuangr,礤床兒,0.2000
cadiao,擦掉,0.2500
cadingzhi,擦腚紙,0.2000
cagan,擦乾,0.2525
caheir,擦黑兒,0.2000
cai,才,0.7249
cai,菜,0.4753
cai,猜,0.3909
cai,踩,0.3803
cai,蔡,0.3513
cai,彩,0.3375
cai,財,0.3292
cai,採,0.2952
cai,采,0.2950
cai,材,0.2902
cai,纔,0.2808
cai,裁,0.2673
cai,睬,0.2479
cai,綵,0.2347
cai,埰,0.2327
cai,寀,0.2324
cai,偲,0.2323
cai,縩,0.2225
cai,倸,0.2223
cai,跴,0.2197
caiban,採辦,0.2500
caiban,菜板,0.2500
caibang,彩蚌,0.2500
caibao,財報,0.3359
caibao,財寶,0.2500
caibaozi,菜包子,0.2000
caibing,裁並,0.2500
caibing,裁兵,0.2500
caibo,財帛,0.2500
caibu,才不,0.2500
caibutou,猜不透,0.2000
caice,猜測,0.4763
caicha,採茶,0.2500
caicha,踩鑔,0.2500
caichan,財產,0.4502
caichang,採場,0.2500
caichang,菜場,0.2483
caichangongzheng,財產公證,0.2000
caichanjiazhi,財產價值,0.2000
caichanquan,財產權,0.2000
caichao,彩超,0.2578
caiche,彩車,0.2500
caiche,裁撤,0.2500
caichu,採出,0.2500
caichu,裁處,0.2500
caida,裁答,0.2500
caidai,彩帶,0.2500
caidan,菜單,0.4248
caidan,彩蛋,0.3863
caidan,彩彈,0.2500
caidanlan,菜單欄,0.2000
caidantiao,菜單條,0.2000
caidao,菜刀,0.2751
caidao,踩道,0.2500
caidaqicu,財大氣粗,0.2000
caide,才德,0.2500
caidetou,猜得透,0.2000
caidi,菜地,0.2500
caidi,采地,0.2500
caidian,彩電,0.2837
caidian,蔡甸,0.2500
caidian,踩點,0.2500
caidianqu,蔡甸區,0.2000
caiding,裁定,0.2618
caidong,財東,0.2500
caidong,踩動,0.2500
caidongfan,蔡東藩,0.2000
caidou,菜豆,0.2500
caiduan,裁斷,0.2500
caidunzi,菜墩子,0.2000
caiduo,猜度,0.2500
caiduo,裁奪,0.2500
caiduo,裁度,0.2500
caie,蔡鍔,0.2500
caier,採耳,0.2500
caifa,採伐,0.2500
caifa,財閥,0.2500
caifang,採訪,0.4694
caifangjizhe,採訪記者,0.2000
caifen,才分,0.2500
caifeng,裁縫,0.2666
caifeng,採風,0.2480
caifengdian,裁縫店,0.2000
caifengshi,裁縫師,0.2000
caifu,財富,0.5653
caifu,菜脯,0.2500
caifu,財賦,0.2500
caifuziyou,財富自由,0.2000
caigan,才幹,0.2500
caigaobadou,才高八斗,0.2000
caigaoqiao,踩高蹺,0.2000
caige,裁革,0.2500
caigou,採購,0.4436
caigoushang,採購商,0.2000
caigouyuan,採購員,0.2000
caigua,菜瓜,0.2500
caiguai,才怪,0.2500
caiguan,彩鸛,0.2500
caiguan,菜館,0.2500
caiguang,採光,0.2565
caiguo,採果,0.2500
caiguoqiang,蔡國強,0.2000
caihong,彩虹,0.3112
caihongfenghu,彩虹蜂虎,0.2000
caihongpi,彩虹屁,0.2000
caihongqi,彩虹旗,0.2000
caihongximiyingwu,彩虹吸蜜鸚鵡,0.2000
caihongxingdong,彩虹行動,0.2000
caihongyingwu,彩虹鸚鵡,0.2000
caihongzuqun,彩虹族群,0.2000
caihua,才華,0.3936
caihua,彩畫,0.2500
caihua,採花,0.2500
caihua,菜花,0.2500
caihuachuzhong,才華出眾,0.2000
caihuadadao,採花大盜,0.2000
caihuagaishi,才華蓋世,0.2000
caihuahengyi,才華橫溢,0.2000
caihuan,彩䴉,0.2500
caihuazei,採花賊,0.2000
caihui,彩繪,0.2494
caiji,採集,0.3938
caiji,菜雞,0.2635
caiji,材積,0.2500
caiji,猜忌,0.2500
caiji,財季,0.2500
caijian,裁剪,0.2819
caijian,裁減,0.2500
caijianwenwu,才兼文武,0.2000
caijing,財經,0.3906
caijing,採景,0.2500
caijuan,彩卷,0.2500
caijue,裁決,0.2649
caijue,採掘,0.2500
caijun,裁軍,0.2500
caikong,踩空,0.2500
caikuai,財會,0.2511
caikuang,採礦,0.2643
caikuangchang,采礦場,0.2000
caikuangye,採礦業,0.2000
caikuo,彩擴,0.2500
cailanzengshao,采蘭贈芍,0.2000
cailanzengyao,采蘭贈藥,0.2000
cailanzi,菜籃子,0.2000
cailei,踩雷,0.2628
caili,財力,0.3098
caili,彩禮,0.2557
caili,財利,0.2500
caili,財禮,0.2500
cailian,彩練,0.2500
cailiao,材料,0.6918
cailiaokexue,材料科學,0.2000
cailiaoxue,材料學,0.2000
cailifo,蔡李佛,0.2000
cailing,彩鈴,0.2804
cailu,採錄,0.2500
cailu,財路,0.2500
cailun,蔡倫,0.2500
cailve,才略,0.2500
caimai,採買,0.2500
caimao,財貿,0.2500
caimaoshuangquan,才貌雙全,0.2000
caimei,採煤,0.2500
caimei,猜枚,0.2500
caimeigongzuomian,採煤工作面,0.2000
caimi,猜謎,0.2500
caimi,財迷,0.2500
caimianji,採棉機,0.2000
caimin,彩民,0.2644
caimir,猜謎兒,0.2000
caimixinqiao,財迷心竅,0.2000
caina,採納,0.3344
caineng,才能,0.7397
caini,彩泥,0.2500
cainian,財年,0.2500
cainiao,菜鳥,0.3335
cainiu,菜牛,0.2500
cainong,菜農,0.2500
cainuan,採暖,0.2535
cainv,才女,0.2615
caipai,彩排,0.2555
caipan,裁判,0.4494
caipanguan,裁判官,0.2000
caipansuo,裁判所,0.2000
caipanyuan,裁判員,0.2000
caipiao,彩票,0.3123
caipin,菜品,0.3195
caipu,菜譜,0.3118
caipu,菜圃,0.2500
caiqi,彩旗,0.2500
