text,jyutping
噍,zau1
噎,jit3
噏,kap1
噐,hei3
噑,hou4
噒,leon1
噓,heoi1
噔,dang1
噕,fai1
噖,jam4
噗,pok3
噘,kyut3
噙,kam4
噚,cam4
噛,ngit6
噝,si1
噞,jim1
噟,jing3
噠,daat3
噡,zim1
噢,jyu2
噣,doek3
噤,gam3
噥,nung4
噦,jyut3
噧,haai3
器,hei3
器具,hei3 geoi6
器官,hei3 gun1
器材,hei3 coi4
器械,hei3 haai6
噩,ngok6
噩夢,ok3 mung6
噪,cou3
噪音,cou3 jam1
噫,aai3
噬,sai6
噭,giu3
噮,jyun1
噯,aai1
噰,jung1
噱,coek3
噱頭,coek3 tau4
噲,faai3
噳,jyu5
噴,fan5
噴嚏,pan3 tai3
噴射,pan3 se6
噴泉,pan3 cyun4
噴漆,pan3 cat1
噴霧,pan3 mou6
噵,dou6
噶,gaa1
噷,hm1
噸,deon1
噹,dong1
噺,san1
噻,sak1
噼,pet1
噽,pei2
噾,jam1
噿,zeoi2
嚀,ning4
嚁,dik6
嚂,laam4
嚃,daap6
嚄,ho1
嚅,jyu4
嚆,haau1
嚇,haak1
嚈,aat3
嚉,deoi3
嚊,be6
嚋,cau4
嚌,zai6
嚍,zeon3
嚎,hou4
嚏,dai3
嚐,soeng4
嚑,fan1
嚒,mo1
嚓,caat3
嚔,dai3
嚕,lou1
嚖,wai3
嚗,bok3
嚘,jau1
嚙,jit6
嚚,ngan4
嚛,huk1
嚜,maa1
嚝,gwong1
嚞,zit3
嚟,lai4
嚠,lau4
嚡,haai4
嚢,nong4
嚤,mo1
嚥,jin3
嚦,lik1
嚧,lou4
嚨,lung4
嚩,bok3
嚪,daam6
嚫,can3
嚬,pan4
嚭,pei2
嚮,hoeng2
嚮導,hoeng3 dou6
嚮往,hoeng2 wong5
嚯,ho1
嚰,jiu1
嚱,he2
嚲,do2
嚳,guk1
嚴,jim4
嚴厲,jim4 lai6
嚴密,jim4 mat6
嚴寒,jim4 hon4
嚴峻,jim4 zeon3
嚴懲,jim4 cing4
嚴格,jim4 gaak3
嚴禁,jim4 gam3
嚴肅,jim4 suk1
嚴苛,jim4 ho1
嚴謹,jim4 gan2
嚴重,jim4 zung6
嚵,caam4
嚶,jing1
嚷,joeng5
嚸,dim2
嚹,la4
嚺,daap6
嚻,hiu1
嚼,ziu3
嚽,zyut3
嚾,fun1
嚿,gau6
囀,zyun2
囁,jip6
囂,hiu1
囂張,hiu1 zoeng1
囃,caap3
囄,lei4
囅,cin2
囆,caai3
囇,lai6
囈,ngai6
囉,lo1
囉嗦,lo1 so1
囊,nong4
囊括,long4 kut3
囋,zaan3
囌,sou1
囍,hei2
囎,zang6
囏,gaan1
囐,zaan3
囑,zuk1
囑咐,zuk1 fu6
囒,laan4
囓,jit6
囔,nong4
囕,hei3
囖,lo4
囗,gwok3
囘,wui4
囙,jan1
囚,cau4
囚犯,cau4 faan2
囚禁,cau4 gam3
四,sei3
四合院,sei3 hap6 jyun2
四周,sei3 zau1
四國,sei3 gwok3
四季,sei3 gwai3
四川,sei3 cyun1
四強,sei3 koeng4
四方,sei3 fong1
四月,sei3 jyut6
四條,sei3 tiu2
四海,sei3 hoi2
四級,sei3 kap1
四肢,sei3 zi1
四處,sei3 cyu3
四面,sei3 min6
四面八方,sei3 min6 baat3 fong1
囜,nan4
囝,naam4
回,wui4
回來,wui4 loi4
回信,wui4 seon3
回到,wui4 dou3
回升,wui4 sing1
回去,wui4 heoi3
回合,wui4 hap6
回味,wui4 mei6
回國,wui4 gwok3
回執,wui4 zap1
回報,wui4 bou3
回家,wui4 gaa1
回復,wui4 fuk6
回想,wui4 soeng2
回憶,wui4 jik1
回憶錄,wui4 jik1 luk2
回應,wui4 jing3
回扣,wui4 kau3
回收,wui4 sau1
回族,wui4 zuk6
回本,wui4 bun2
回歸,wui4 gwai1
回流,wui4 lau4
回程,wui4 cing4
回答,wui4 daap3
回聲,wui4 sing1
回落,wui4 lok6
回血,wui4 hyut3
回覆,wui4 fuk1
回購,wui4 kau3
回頭,wui4 tau4
回顧,wui4 gu3
回饋,wui4 gwai3
回首,wui4 sau2
囟,seon2
因,jan1
因人而異,jan1 jan4 ji4 ji6
因子,jan1 zi2
因果,jan1 gwo2
因此,jan1 ci2
因素,jan1 sou3
因緣,jan1 jyun4
因而,jan1 ji4
囡,naam4
囡囡,neoi4 neoi1
団,tyun4
囤,deon6
囤積,tyun4 zik1
囥,kong3
囦,jyun1
囧,gwing2
囨,pin1
囩,wan4
囪,coeng1
囫,fat1
囬,wui4
囮,jau4
囯,gwok3
困,kwan3
困境,kwan3 ging2
困惑,kwan3 waak6
困擾,kwan3 jiu2
困難,kwan3 naan4
囱,coeng1
囲,tung1
図,tou4
囶,gwok3
囷,kwan1
囸,jat6
囹,ling4
固,gu3
固執,gu3 zap1
固定,gu3 ding6
固態,gu3 taai3
固有,gu3 jau5
固然,gu3 jin4
固網,gu3 mong5
固體,gu3 tai2
囻,gwok3
囼,toi1
囿,jau6
圀,gwok3
圁,ngan4
圂,waan6
圃,bou2
圄,jyu5
圅,haam4
圇,leon4
圈,gyun6
圈套,hyun1 tou3
圈子,hyun1 zi2
圉,jyu5
圊,cing1
國,gwok3
國人,gwok3 jan4
國企,gwok3 kei5
國債,gwok3 zaai3
國內,gwok3 noi6
國力,gwok3 lik6
國務院,gwok3 mou6 jyun2
國君,gwok3 gwan1
國土,gwok3 tou2
國外,gwok3 ngoi6
國學,gwok3 hok6
國安,gwok3 on1
國家,gwok3 gaa1
國富論,gwok3 fu3 leon6
國寶,gwok3 bou2
國度,gwok3 dou6
國庫,gwok3 fu3
國情,gwok3 cing4
國慶,gwok3 hing3
國旗,gwok3 kei4
國會,gwok3 wui2
國有,gwok3 jau5
國歌,gwok3 go1
國民,gwok3 man4
國民黨,gwok3 man4 dong2
國營,gwok3 jing4
國王,gwok3 wong4
國產,gwok3 caan2
國畫,gwok3 waa2
國立,gwok3 laap6
國籍,gwok3 zik6
國腳,gwok3 goek3
國語,gwok3 jyu5
國貨,gwok3 fo3
國軍,gwok3 gwan1
國防,gwok3 fong4
國際,gwok3 zai3
國際化,gwok3 zai3 faa3
國際象棋,gwok3 zai3 zoeng6 kei2
國際足聯,gwok3 zai3 zuk1 lyun4
圌,cyun4
圍,wai4
圍城,wai4 sing4
圍巾,wai4 gan1
圍攻,wai4 gung1
圍棋,wai4 kei2
圍欄,wai4 laan4
圍牆,wai4 coeng4
圍繞,wai4 jiu2
圍觀,wai4 gun1
圎,jyun4
圏,hyun1
圐,ku1
圑,pou2
園,jyun4
園地,jyun4 dei6
園子,jyun4 zi2
園林,jyun4 lam4
園藝,jyun4 ngai6
圓,jyun4
圓圈,jyun4 hyun1
圓形,jyun4 jing4
圓滑,jyun4 waat6
圓滿,jyun4 mun5
圓潤,jyun4 jeon6
圔,aap3
圕,tou4
圖,tou4
圖例,tou4 lai6
圖像,tou4 zoeng6
圖層,tou4 cang4
圖形,tou4 jing4
圖書,tou4 syu1
圖書館,tou4 syu1 gun2
圖案,tou4 on3
圖片,tou4 pin2
圖畫,tou4 waa2
圖示,tou4 si6
圖表,tou4 biu2
圖解,tou4 gaai2
圖鑑,tou4 gaam3
圖騰,tou4 tang4
圗,tou4
團,tyun4
團員,tyun4 jyun4
團圓,tyun4 jyun4
團結,tyun4 git3
團聚,tyun4 zeoi6
團購,tyun4 kau3
團隊,tyun4 deoi2
團隊精神,tyun4 deoi2 zing1 san4
團體,tyun4 tai2
圙,loek6
圚,kui2
圛,jik6
圜,jyun4
圝,lyun4
圞,lyun4
土,tou2
土匪,tou2 fei2
土地,tou2 dei6
土壤,tou2 joeng6
土星,tou2 sing1
土木工程,tou2 muk6 gung1 cing4
土耳其,tou2 ji5 kei4
土著,tou2 zyu3
土豆,tou2 dau6
土豪,tou2 hou4
圠,caak3
圡,tou2
圢,ting5
圣,fat1
圤,pok3
圥,luk6
圦,faai3
圧,zong1
在,zoi6
在下,zoi6 haa6
在世,zoi6 sai3
在乎,zoi6 fu4
在位,zoi6 wai6
在內,zoi6 noi6
在即,zoi6 zik1
在場,zoi6 coeng4
在學,zoi6 hok6
在座,zoi6 zo6
在意,zoi6 ji3
在所難免,zoi6 so2 naan4 min5
在於,zoi6 jyu1
在校,zoi6 haau6
在牀,zoi6 cong4
在線,zoi6 sin3
在職,zoi6 zik1
圩,heoi1
圪,gat3
圫,ou3
圬,wu1
圭,gwai1
圮,pei2
圯,ji4
地,dei6
地上,dei6 soeng6
地下,dei6 haa2
地下城,dei6 haa6 sing4
地下室,dei6 haa6 sat1
地下水,dei6 haa6 seoi2
地中海,dei6 zung1 hoi2
地主,dei6 zyu2
地位,dei6 wai6
地勢,dei6 sai3
地區,dei6 keoi1
地名,dei6 meng2
地圖,dei6 tou4
地址,dei6 zi2
地域,dei6 wik6
地基,dei6 gei1
地帶,dei6 daai3
地平線,dei6 ping4 sin3
地形,dei6 jing4
地攤,dei6 taan1
地方,dei6 fong1
地板,dei6 baan2
地標,dei6 biu1
地步,dei6 bou6
地段,dei6 dyun6
地毯,dei6 taam2
地獄,dei6 juk6
地球,dei6 kau4
地理,dei6 lei5
地產,dei6 caan2
地盤,dei6 pun4
地磚,dei6 zyun1
地稅,dei6 seoi3
地表,dei6 biu2
地貌,dei6 maau6
地質,dei6 zat1
地道,dei6 dou6
地鐵,dei6 tit3
地鐵站,dei6 tit3 zaam6
地雷,dei6 leoi4
地震,dei6 zan3
地面,dei6 min2
地點,dei6 dim2
圱,cin1
圲,cin1
圳,hyun2
圴,zoek3
圵,joeng6
圶,haap3
圷,haa6
圸,saan1
圻,kei4
圼,nit6
圽,mut6
圾,kap1
圿,git3
址,zi2
坁,zi2
坂,baan2
坃,hyun1
坄,jik6
坅,jam2
坆,mui4
均,gwan1
均值,gwan1 zik6
均分,gwan1 fan1
均勻,gwan1 wan4
均線,gwan1 sin3
均衡,gwan1 hang4
坈,haang1
坉,nang4
坊,fong1
坋,ban6
坌,ban6
坍,taan1
坎,ham1
坎坷,ham1 ho1
坏,pui1
坐,co5
坐墊,zo6 zin3
坐姿,zo6 zi1
坐擁,zo6 jung2
坐牢,zo6 lou4
坐落,zo6 lok6
坐車,co5 ce1
坐鎮,zo6 zan6
坐飛機,co5 fei1 gei1
坑,haang1
坒,bai6
坓,zing6
坔,dei6
坕,ging1
坖,gei6
坘,ci4
坙,ging1
坡,bo1
坢,bun3
坣,tong4
坤,kwan1
坥,ceoi1
坦,taan2
坦克,taan2 hak1
坦然,taan2 jin4
坦率,taan2 seot1
坦白,taan2 baak6
坦誠,taan2 sing4
坧,zek3
坨,to4
坩,ham1
坪,ping4
坫,dim3
坬,gwaa3
坭,nai4
坮,toi4
坯,pui1
坰,gwing1
坱,joeng5
坲,fat6
坳,aau1
坴,luk6
坵,jau1
坶,muk6
坷,ho1
坸,gau3
坹,jyut6
坺,baat6
坻,ci4
坼,caak3
坽,ling4
坾,cyu5
坿,fu6
垀,fu1
垁,zi6
垂,seoi4
垂直,seoi4 zik6
垂釣,seoi4 diu3
垃,laa1
垃圾,laap6 saap3
垃圾分類,laap6 saap3 fan1 leoi6
垃圾桶,laap6 saap3 tung2
垇,aau3
垈,doi6
垉,paau4
垊,man4
型,jing4
型號,jing4 hou6
垌,dung6
垍,gei6
垎,haak6
垏,leot6
垐,ci4
垑,ci2
垓,goi1
垔,jan1
垕,hau5
垖,deoi1
垗,siu6
垘,fuk6
垙,gwong1
垚,jiu4
垛,do2
垜,do2
垝,gwai2
垞,caa4
垟,joeng4
垠,ngan4
垡,fat6
垢,gau3
垣,wun4
垤,dit6
垥,hip3
垧,hoeng2
垨,sau2
垪,bing6
垬,hung4
垮,kwaa1
垰,lung6
垳,hang4
垵,am1
垶,sing1
垷,jin6
垸,jyun6
垹,bong1
垺,fu1
垻,baa3
垼,jik6
垽,ngan6
垾,hon6
垿,zeoi6
埀,seoi4
埁,sam4
埂,gang2
埃,aai1
埃及,oi1 kap6
埄,bung6
埅,fong4
埆,gok3
埇,cung1
埈,seon3
埉,gaap3
埊,dei6
埋,maai4
埋伏,maai4 fuk6
埋怨,maai4 jyun3
埋葬,maai4 zong3
埋藏,maai4 cong4
埋頭,maai4 tau4
埌,long5
埍,gyun2
城,seng2
城區,sing4 keoi1
城堡,sing4 bou2
城市,sing4 si5
城牆,sing4 coeng4
城邦,sing4 bong1
城鄉,sing4 hoeng1
城鎮,sing4 zan3
城鐵,sing4 tit3
埏,jin4
埐,zam1
埑,zit3
埒,lyut3
埓,lyut3
埔,bou3
埕,cing4
埖,faa1
埗,bou2
埛,gwing1
埜,je5
埝,nim6
埞,deng6
域,wik6
域名,wik6 meng2
域名註冊,wik6 meng2 zyu3 caak3
埠,bou6
埡,aa3
埢,gyun3
埣,seoi4
埤,bai3
埥,zang1
埦,wun2
埧,baa3
埨,leon4
埩,caang4
埪,hung1
埫,cung2
埬,dung1
埭,dai6
埮,daam6
埰,coi2
埱,cuk1
埲,bong6
埳,ham2
埴,zik6
埵,do2
埶,ngai6
執,zap1
執勤,zap1 kan4
執導,zap1 dou6
執念,zap1 nim6
執意,zap1 ji3
執政,zap1 zing3
執教,zap1 gaau3
執業,zap1 jip6
執法,zap1 faat3
執照,zap1 ziu3
執着,zap1 zoek6
執行,zap1 hang4
埸,jik6
培,bau6
培育,pui4 juk6
培訓,pui4 fan3
培養,pui4 joeng5
基,gei1
基友,gei1 jau2
基因,gei1 jan1
基地,gei1 dei6
基層,gei1 cang4
基建,gei1 gin3
基數,gei1 sou3
基於,gei1 jyu1
基本,gei1 bun2
基本上,gei1 bun2 soeng6
基本功,gei1 bun2 gung1
基準,gei1 zeon2
基督,gei1 duk1
基督徒,gei1 duk1 tou4
基督教,gei1 duk1 gaau3
基石,gei1 sek6
基礎,gei1 co2
基礎代謝,gei1 co2 doi6 ze6
基礎教育,gei1 co2 gaau3 juk6
基礎課,gei1 co2 fo3
基站,gei1 zaam6
基金,gei1 gam1
埻,deoi1
埼,kei4
埽,sou3
埾,zeoi6
埿,baan6
堀,fat1
堁,fo3
堂,tong4
堂堂,tong4 tong4
堃,kwan1
堄,ngai4
堅,gin1
堅信,gin1 seon3
堅固,gin1 gu3
堅守,gin1 sau2
堅定,gin1 ding6
堅定不移,gin1 deng6 bat1 ji4
堅實,gin1 sat6
堅強,gin1 koeng4
堅持,gin1 ci4
堅持不懈,gin1 ci4 bat1 haai6
堅挺,gin1 ting2
堅果,gin1 gwo2
堅毅,gin1 ngai6
堅決,gin1 kyut3
堅硬,gin1 ngaang6
堅韌,gin1 jan6
堆,deoi1
堆放,deoi1 fong3
堆砌,deoi1 cai3
堆積,deoi1 zik1
堇,gan2
堈,gong1
堉,juk6
堊,ok3
堋,baang6
堌,gu3
堍,tou3
堎,ling4
堏,fong4
堐,ngaai4
堒,kwan1
堓,ngon6
堔,sam1
堖,nou5
堗,dat6
堘,sing4
堙,jan1
堚,waan4
堛,pei3
堜,lin6
堝,gwo1
堞,dip6
堟,zyun6
堠,hau6
堡,bou2
堡壘,bou2 leoi5
堢,bou2
堣,jyu4
堤,tai4
堥,mau4
堦,gaai1
堧,jyun4
堨,aat3
堩,gang2
堪,ham1
堪憂,ham1 jau1
堪稱,ham1 cing1
堫,zung1
堬,jyu4
堭,wong4
堮,ngok6
堯,jiu4
堰,jin2
報,bou3
報仇,bou3 sau4
報價,bou3 gaa3
報價單,bou3 gaa3 daan1
報刊,bou3 hon1
報到,bou3 dou3
報名,bou3 meng2
報告,bou3 gou3
報導,bou3 dou6
報廢,bou3 fai3
報復,bou3 fuk6
報應,bou3 jing3
報料,bou3 liu2
報案,bou3 on3
報業,bou3 jip6
報社,bou3 se5
報稅,bou3 seoi3
報答,bou3 daap3
報紙,bou3 zi2
報考,bou3 haau2
報警,bou3 ging2
報道,bou3 dou6
報酬,bou3 cau4
報銷,bou3 siu1
報關,bou3 gwaan1
堲,zat1
堳,mei4
場,coeng4
場合,coeng4 hap6
場地,coeng4 dei6
場所,coeng4 so2
場景,coeng4 ging2
場面,coeng4 min2
場館,coeng4 gun2
堵,dou2
堵塞,dou2 sak1
堵車,dou2 ce1
堶,to4
堷,bau6
堸,fung4
堹,zung3
堺,gaai3
堻,zeon1
堼,hang6
堽,gong1
堾,ceon1
堿,gaan2
塀,ping4
塁,leoi5
塂,hong4
塃,fong1
塄,ling4
塅,dyun6
塇,syun1
塈,gei6
塉,zik6
塊,faai3
塋,jing4
塌,dap1
塍,sing4
塎,jung5
塏,hoi2
塐,sou3
塑,sok3
塑像,sou3 zoeng6
塑料,sou3 liu2
塑膠,sou3 gaau1
塑造,sou3 zou6
塒,si4
塓,mik6
塔,taap3
塔利班,taap3 lei6 baan1
塕,jung2
塖,sing4
塗,caa4
塗抹,tou4 mut3
塗鴉,tou4 aa1
塘,tong4
塘沽,tong4 gu1
塙,kok3
塚,cung2
塛,leot6
塜,bung6
塝,bong6
塞,coi3
塞爾維亞,coi3 ji5 wai4 aa3
塟,zong3
塠,deoi1
塡,tin4
塢,ou3
塣,cing2
塤,fan1
塥,gaak3
塦,zan6
塧,aai3
塨,gung1
塩,jim4
塪,ham2
填,tin4
填充,tin4 cung1
填報,tin4 bou3
填寫,tin4 se2
填滿,tin4 mun5
填空,tin4 hung1
填空題,tin4 hung1 tai4
填補,tin4 bou2
填詞,tin4 ci4
塬,jyun4
塭,wan1
塮,ze6
塯,lau6
塰,hoi2
塱,long5
塲,coeng4
塳,bung6
塴,baang6
塵,can2
塵世,can4 sai3
塵土,can4 tou2
塵埃,can4 aai1
塵埃落定,can4 oi1 lok6 ding6
塵封,can4 fung1
塶,luk6
塷,lou5
塸,au2
塹,cim3
塺,mo6
塻,mok6
塼,zyun1
塽,song2
塾,suk6
塿,lau4
墀,ci4
墁,maan6
墂,biu1
境,ging2
境內,ging2 noi6
境地,ging2 dei6
境外,ging2 ngoi6
境界,ging2 gaai3
墄,cak1
墅,seoi5
墆,dai3
墇,zoeng1
墈,ham3
墉,jung4
墊,dim3
墊底,zin3 dai2
墋,cam2
墌,zek3
墍,gei3
墎,gwok3
墏,coeng2
墐,gan2
墑,dik1
墒,soeng1
墓,mou6
墓地,mou6 dei6
墓碑,mou6 bei1
墔,ceoi1
墕,jin2
墖,taap3
増,zang1
墘,kin4
墚,loeng4
墛,wai3
墜,zeoi6
墜毀,zeoi6 wai2
墜落,zeoi6 lok6
墝,haau1
增,cang4
增值,zang1 zik6
增加,zang1 gaa1
增加值,zang1 gaa1 zik6
增多,zang1 do1
增幅,zang1 fuk1
增強,zang1 koeng4
增添,zang1 tim1
增益,zang1 jik1
增肌,zang1 gei1
增進,zang1 zeon3
增長,zang1 zoeng2
墟,heoi1
墠,sin6
墡,sin6
墢,baat6
墣,buk6
墤,faai3
墥,dung2
墦,faan4
墧,kok3
墨,maak6
墨水,mak6 seoi2
墨爾本,mak6 ji5 bun2
墨盒,mak6 hap2
墨西哥,mak6 sai1 go1
墨跡,mak6 zik1
墨鏡,mak6 geng3
墩,dan1
墪,dan1
墫,cyun4
墬,dei6
墭,sing6
墮,do6
墮落,do6 lok6
墯,do6
墰,taam4
墱,dang3
墲,mou4
墳,fan4
墳墓,fan4 mou6
墴,wong4
墵,taam4
墶,daat3
墷,jip6
墸,zyu3
墹,gaan1
墺,ou3
墻,coeng4
墼,gik1
墽,haau1
墾,han2
墿,jik6
壀,pei4
壁,bek3
壁畫,bik1 waa2
壁紙,bik1 zi2
壂,din6
壃,goeng1
壄,je5
壅,jung1
壆,bok3
壇,taan4
壈,lam5
壉,geoi3
壊,waai6
壋,dong2
壌,joeng6
壍,cim3
壎,fan1
壏,haam5
壐,saai2
壑,kok3
壒,oi2
壓,aat3
壓低,aat3 dai1
壓倒,aat3 dou2
壓制,aat3 zai3
壓力,aat3 lik6
壓抑,aat3 jik1
壓榨,aat3 zaa3
壓縮,aat3 suk1
壓迫,aat3 bik1
壓迫感,aat3 bik1 gam2
壔,dou2
壕,hou4
壖,jyun4
壗,zeon6
壘,leoi4
壙,kong3
壚,lou4
壛,jim4
壜,taam4
壝,wai2
壞,waai6
壞事,waai6 si6
壞處,waai6 cyu3
壞蛋,waai6 daan2
壞話,waai6 waa2
壟,lung5
壟斷,lung5 dyun6
壠,lung5
壡,jeoi6
壢,lek6
壣,leon4
壤,joeng5
壥,cin4
壦,hyun1
壧,ngaam4
壨,leoi4
壩,baa3
壪,waan1
士,si6
士人,si6 jan4
士兵,si6 bing1
士族,si6 zuk6
士氣,si6 hei3
壬,jam4
壭,si6
壯,zong1
壯大,zong3 daai6
壯漢,zong3 hon3
壯觀,zong3 gun1
壯麗,zong3 lai6
壱,jat1
売,maai6
壴,zyu3
壵,zong3
壷,wu4
壹,jat1
壺,wu4
壻,sai3
壼,kwan2
壽,sau6
壽司,sau6 si1
壽命,sau6 ming6
壽險,sau6 him2
壾,mong5
壿,cyun4
夀,sau6
夁,jat1
夂,zi2
夃,gu2
夅,gong3
夆,fung1
夈,zaai1
変,bin3
夊,seoi1
夋,ceon1
夌,ling4
复,fuk1
夎,co3
夏,gaa2
夏令營,haa6 ling6 jing4
夏天,haa6 tin1
夏季,haa6 gwai3
夏日,haa6 jat6
夐,hing3
夑,sit3
夒,naau4
夓,haa6
夔,kwai4
夕,zik6
夕陽,zik6 joeng4
外,ngoi6
外交,ngoi6 gaau1
外交官,ngoi6 gaau1 gun1
外交部,ngoi6 gaau1 bou6
外人,ngoi6 jan4
外來,ngoi6 loi4
外側,ngoi6 zak1
外傳,ngoi6 cyun4
外傷,ngoi6 soeng1
外公,ngoi6 gung1
外出,ngoi6 ceot1
外力,ngoi6 lik6
外匯,ngoi6 wui6
外向,ngoi6 hoeng3
外商,ngoi6 soeng1
外國,ngoi6 gwok3
外國人,ngoi6 gwok3 jan4
外圍,ngoi6 wai4
外在,ngoi6 zoi6
外地,ngoi6 dei6
外型,ngoi6 jing4
外套,ngoi6 tou3
外婆,ngoi6 po4
外幣,ngoi6 bai6
外形,ngoi6 jing4
外戚,ngoi6 cik1
外掛,ngoi6 gwaa3
外援,ngoi6 wun4
外文,ngoi6 man4
外星,ngoi6 sing1
外星人,ngoi6 sing1 jan4
外景,ngoi6 ging2
外殼,ngoi6 hok3
外牆,ngoi6 coeng4
外甥,ngoi6 sang1
外用,ngoi6 jung6
外界,ngoi6 gaai3
外省,ngoi6 saang2
外科,ngoi6 fo1
外籍,ngoi6 zik6
外置,ngoi6 zi3
外號,ngoi6 hou6
外行,ngoi6 hong4
外衣,ngoi6 ji1
外表,ngoi6 biu2
外觀,ngoi6 gun1
外語,ngoi6 jyu5
外貌,ngoi6 maau6
外貿,ngoi6 mau6
外資,ngoi6 zi1
外賣,ngoi6 maai6
外遇,ngoi6 jyu6
外邊,ngoi6 bin1
外部,ngoi6 bou6
外面,ngoi6 min6
外頭,ngoi6 tau4
夗,jyun2
夘,maau5
夙,suk1
多,do1
多久,do1 gau2
多事,do1 si6
多倫多,do1 leon4 do1
多元,do1 jyun4
多元化,do1 jyun4 faa3
多半,do1 bun3
多多,do1 do1
多多少少,do1 do1 siu2 siu2
多媒體,do1 mui4 tai2
多少,do1 siu2
多少錢,do1 siu2 cin2
多得,do1 dak1
多情,do1 cing4
多愁善感,do1 sau4 sin6 gam2
多數,do1 sou3
多於,do1 jyu1
多時,do1 si4
多樣,do1 joeng6
多的是,do1 dik1 si6
多謝,do1 ze6
多達,do1 daat6
多選題,do1 syun2 tai4
多餘,do1 jyu4
多麼,do1 mo1
夛,do1
夜,je6
夜宵,je6 siu1
夜市,je6 si5
夜幕,je6 mok6
夜店,je6 dim3
夜晚,je6 maan5
夜景,je6 ging2
夜深,je6 sam1
夜班,je6 baan1
夜生活,je6 sang1 wut6
夜空,je6 hung1
夜總會,je6 zung2 wui2
夜色,je6 sik1
夜裏,je6 leoi5
夜間,je6 gaan1
夝,ceng4
夞,ngoi6
夠,gau3
夡,hei3
夢,mung4
夢境,mung6 ging2
夢寐以求,mung6 mei6 ji5 kau4
夢幻,mung6 waan6
夢想,mung6 soeng2
夢見,mung6 gin3
夢遊,mung6 jau4
夢魘,mung6 jim2
夣,mung6
夤,jan4
夥,fo2
夥伴,fo2 bun6
夥計,fo2 gei3
夦,cam2
大,daai6
大不了,daai6 bat1 liu5
大事,daai6 si6
大亨,daai6 hang1
大人,daai6 jan4
大人物,daai6 jan4 mat2
大仙,daai6 sin1
大件,daai6 gin6
大伯,daai6 baak3
大作,daai6 zok3
大佬,daai6 lou2
大使,daai6 sai2
大使館,daai6 si3 gun2
大便,daai6 bin6
大俠,daai6 hap6
大全,daai6 cyun4
大力,daai6 lik6
大勢,daai6 sai3
大包,daai6 baau1
大半,daai6 bun3
大叔,daai6 suk1
大叫,daai6 giu3
大同小異,daai6 tung4 siu2 ji6
大名鼎鼎,daai6 ming4 ding2 ding2
大呼,daai6 fu1
大和,daai6 wo4
大哥,daai6 go1
大單,daai6 daan1
大地,daai6 dei6
大坑,daai6 haang1
大型,daai6 jing4
大堂,daai6 tong4
大場面,daai6 coeng4 min2
大多,daai6 do1
大多數,daai6 do1 sou3
大夥,daai6 fo2
大大,daai6 daai6
大大小小,daai6 daai6 siu2 siu2
大夫,daai6 fu1
大姐,daai6 ze2
大娘,daai6 noeng1
大媽,daai6 maa1
大嫂,daai6 sou2
大嬸,daai6 sam2
大字,daai6 zi6
大學,daai6 hok6
大學生,daai6 hok6 saang1
大家,daai6 gaa1
大寫,daai6 se2
大將,daai6 zoeng3
大專,daai6 zyun1
大小,daai6 siu2
大小姐,daai6 siu2 ze2
大局,daai6 guk6
大市,daai6 si5
大帝,daai6 dai3
大師,daai6 si1
大幅,daai6 fuk1
大廈,daai6 haa6
大廚,daai6 cyu2
大廳,daai6 teng1
大意,daai6 ji3
大愛,daai6 oi3
大戰,daai6 zin3
大戲,daai6 hei3
大戶,daai6 wu6
大手,daai6 sau2
大手筆,daai6 sau2 bat1
大打折扣,daai6 daa2 zit3 kau3
大批,daai6 pai1
大把,daai6 baa2
大抵,daai6 dai2
大拇指,daai6 mou5 zi2
大提琴,daai6 tai4 kam4
大方,daai6 fong1
大旗,daai6 kei4
大會,daai6 wui2
大有人在,daai6 jau5 jan4 zoi6
大本營,daai6 bun2 jing4
大棚,daai6 paang4
大概,daai6 koi3
大樓,daai6 lau4
大氣層,daai6 hei3 cang4
大水,daai6 seoi2
大法,daai6 faat3
大洋,daai6 joeng2
大海,daai6 hoi2
大滿貫,daai6 mun5 gun3
大漢,daai6 hon3
大炮,daai6 paau3
大熊貓,daai6 hung4 maau1
大熱,daai6 jit6
大爺,daai6 je4
大牀,daai6 cong4
大片,daai6 pin2
大牌,daai6 paai2
大牛,daai6 ngau4
大王,daai6 wong4
大理石,daai6 lei5 sek6
大男人,daai6 naam4 jan2
大白,daai6 baak6
大白菜,daai6 baak6 coi3
大白話,daai6 baak6 waa2
大盜,daai6 dou6
大相徑庭,daai6 soeng1 ging3 ting4
大碟,daai6 dip2
大神,daai6 san4
大禮,daai6 lai5
大米,daai6 mai5
大約,daai6 joek3
大結局,daai6 git3 guk6
大綱,daai6 gong1
大聲,daai6 seng1
大肆,daai6 si3
大腦,daai6 nou5
大腸,daai6 coeng2
大腿,daai6 teoi2
大膽,daai6 daam2
大臣,daai6 san4
大自然,daai6 zi6 jin4
大致,daai6 zi3
大舉,daai6 geoi2
大蒜,daai6 syun3
大號,daai6 hou6
大行其道,daai6 hang4 kei4 dou6
大街,daai6 gaai1
大街小巷,daai6 gaai1 siu2 hong6
大衣,daai6 ji1
大西洋,daai6 sai1 joeng4
大規模,daai6 kwai1 mou4
大計,daai6 gai3
大話,daai6 waa6
大調,daai6 diu6
大豆,daai6 dau2
大象,daai6 zoeng6
大賣,daai6 maai6
大賽,daai6 coi3
大路,daai6 lou6
